Unnamed: 0,Unnamed: 1,Unnamed: 2,Reference,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_whiten_BNC_congreso_GENERIC,GPT_CATEGORY
,,,Written books and periodicals,"from the main gates up to the entrance of the compound, and the stones which marked the main track had all been specially whitened . </s><s> During the night there was torrential rain. </s><s> The students and staff were up at Sam re-painting the stones and filling up",MAKE_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"from the main gates up to the entrance of the compound, and the stones which marked the main track had all been specially whitened . </s><s> During the night there was torrential rain. </s><s> The students and staff were up at Sam re-painting the stones and filling up",white,COAT_WITH_WHITE,COAT_WITH_WHITE
,,,Written books and periodicals,"his office that I realized the plan was upside down. </s><s> Tel-boy was a worried man. </s><s> I could see that from the way his knuckles whitened around the telephone. </s><s> He wasn't saying much; mostly 'yessir' and 'certainly' and he ended with the words 'Very well, Mr",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"his office that I realized the plan was upside down. </s><s> Tel-boy was a worried man. </s><s> I could see that from the way his knuckles whitened around the telephone. </s><s> He wasn't saying much; mostly 'yessir' and 'certainly' and he ended with the words 'Very well, Mr",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"of him!' </s><s> For a moment, he reminded Melissa of Lou in his haste to defend a loved one, but she had seen how his knuckles whitened on hearing the story and guessed what he must be thinking. </s><s> Little by little, he was getting to know the true Angy. </s><s> She",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"of him!' </s><s> For a moment, he reminded Melissa of Lou in his haste to defend a loved one, but she had seen how his knuckles whitened on hearing the story and guessed what he must be thinking. </s><s> Little by little, he was getting to know the true Angy. </s><s> She",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"relationship with Lou and Rick?' </s><s> 'Rick? </s><s> You mean that brute she ran away from? </s><s> Yes, of course I did.' </s><s> Eddie's knuckles whitened as she gripped the back of her chair. </s><s> 'Angy and I had supper together on the Monday evening but she never said that girl had",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"relationship with Lou and Rick?' </s><s> 'Rick? </s><s> You mean that brute she ran away from? </s><s> Yes, of course I did.' </s><s> Eddie's knuckles whitened as she gripped the back of her chair. </s><s> 'Angy and I had supper together on the Monday evening but she never said that girl had",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,and spelt out the sign </s><s> on the steel tag screwed to the window-frame: </s><s> NE JETEZ AUCUN OBJET PAR LA FENETRE. </s><s> Her knuckles whitened round the neck of the jar. </s><s> Some corner of a foreign field... he never </s><s> gave a toss for that. </s><s> He'd sold his medals </s><s> for coppers,BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,and spelt out the sign </s><s> on the steel tag screwed to the window-frame: </s><s> NE JETEZ AUCUN OBJET PAR LA FENETRE. </s><s> Her knuckles whitened round the neck of the jar. </s><s> Some corner of a foreign field... he never </s><s> gave a toss for that. </s><s> He'd sold his medals </s><s> for coppers,white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"set up and a school is in session (see below). </s><s> The smallest children bring a slate or a tathi. </s><s> A tathi is a wooden board, whitened with a chalky substance on which the child writes with a wooden pen dipped in black ink. </s><s> It is taken home every night to be",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"set up and a school is in session (see below). </s><s> The smallest children bring a slate or a tathi. </s><s> A tathi is a wooden board, whitened with a chalky substance on which the child writes with a wooden pen dipped in black ink. </s><s> It is taken home every night to be",white,COAT_WITH_WHITE,COAT_WITH_WHITE
,,,Written books and periodicals,"the new smell. </s><s> The whole South West </s><s> Was black as nightfall. </s><s> Trailing squall-smokes hung over the moor leaning </s><s> And whitening towards us, then the world blurred </s><s> And disappeared in forty-five degree hail </s><s> And a gate-jerking blast. </s><s> We got to cover. </s>",WO_FOG,BE(COME)_WHITE,NOUN,"the new smell. </s><s> The whole South West </s><s> Was black as nightfall. </s><s> Trailing squall-smokes hung over the moor leaning </s><s> And whitening towards us, then the world blurred </s><s> And disappeared in forty-five degree hail </s><s> And a gate-jerking blast. </s><s> We got to cover. </s>",white,BE(COME)_WHITE,BE(COME)_WHITE
,,,Written books and periodicals,"<s> Burning to frails of charcoal </s><s> Roar blind, and swing blindly, a hill-top </s><s> Helpless self-defence. </s><s> Snow </s><s> Is erasing them, whitening blanks </s><s> Against a dirty whiteness. </s><s> The new jolly lambs </s><s> Are pleased with their nursery. </s><s> A few cavorts </s><s> Keep trying their",NONE,MAKE_WHITE,MAKE_WHITE,"<s> Burning to frails of charcoal </s><s> Roar blind, and swing blindly, a hill-top </s><s> Helpless self-defence. </s><s> Snow </s><s> Is erasing them, whitening blanks </s><s> Against a dirty whiteness. </s><s> The new jolly lambs </s><s> Are pleased with their nursery. </s><s> A few cavorts </s><s> Keep trying their",white,MAKE_WHITE,MAKE_WHITE
,,,Written books and periodicals,"<s> to the music of Workers' Playtime. </s><s> At dusk the parachute packers </s><s> release their hair from its nets </s><s> and ride down lanes whitened by cow-parsley </s><s> to village halls, where the dances </s><s> and beer and the first cigarettes </s><s> expunge the clouds of parachute",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"<s> to the music of Workers' Playtime. </s><s> At dusk the parachute packers </s><s> release their hair from its nets </s><s> and ride down lanes whitened by cow-parsley </s><s> to village halls, where the dances </s><s> and beer and the first cigarettes </s><s> expunge the clouds of parachute",white,MAKE_WHITE,MAKE_WHITE
,,,Written books and periodicals,"was burnt alive. </s><s> He had only one candle which was not powerful enough to start such a blaze so quickly whilst the fire was whitened ash.' </s><s> 'What about gunpowder?' </s><s> 'What do you mean?' </s><s> 'Well, a trail of gunpowder from the bed under the doorway, then",ADJECTIVE,ADJECTIVE,ADJECTIVE,"was burnt alive. </s><s> He had only one candle which was not powerful enough to start such a blaze so quickly whilst the fire was whitened ash.' </s><s> 'What about gunpowder?' </s><s> 'What do you mean?' </s><s> 'Well, a trail of gunpowder from the bed under the doorway, then",white,BE(COME)_WHITE,BE(COME)_WHITE
,,,Written miscellaneous,"to go hunting. </s><s> So he'd rushed to the field, catching a sun-dazed pony, scrambling onto the broad back, hair and scurf whitening the new trousers, cantering over the paddocks and clattering into the yard where Peter and Andrew were almost ready. </s><s> He",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"to go hunting. </s><s> So he'd rushed to the field, catching a sun-dazed pony, scrambling onto the broad back, hair and scurf whitening the new trousers, cantering over the paddocks and clattering into the yard where Peter and Andrew were almost ready. </s><s> He",white,BE(COME)_WHITE,BE(COME)_WHITE
,,,Written books and periodicals,"plot was so eminently forgettable, she could start again, once she was through. </s><s> She watched her bare toe rub against the whitened concrete of the balcony. </s><s> It was a nice toe, she decided. </s><s> Here's to you, toe, she said, raising her long clear glass of",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"plot was so eminently forgettable, she could start again, once she was through. </s><s> She watched her bare toe rub against the whitened concrete of the balcony. </s><s> It was a nice toe, she decided. </s><s> Here's to you, toe, she said, raising her long clear glass of",white,ADJECTIVE,ADJECTIVE
,,,Written books and periodicals,"mother was born there.' </s><s> He pointed at a shell on the far side of the street. </s><s> 'They fired the thatch –' His hands gripped and whitened . </s><s> 'They fired every house and they ran the men down like deer. </s><s> The women and children had gone off to the caves –, 'Did you",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"mother was born there.' </s><s> He pointed at a shell on the far side of the street. </s><s> 'They fired the thatch –' His hands gripped and whitened . </s><s> 'They fired every house and they ran the men down like deer. </s><s> The women and children had gone off to the caves –, 'Did you",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"in 4kg sections and can be machine sliced. </s><s> Coffee creamer </s><s> COFFEE Rich is a frozen non-dairy creamer which can be used for whitening coffee or creaming sauces. </s><s> It is Kosher-approved and is available in half-ounce portions, 500g servings and 1kg",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"in 4kg sections and can be machine sliced. </s><s> Coffee creamer </s><s> COFFEE Rich is a frozen non-dairy creamer which can be used for whitening coffee or creaming sauces. </s><s> It is Kosher-approved and is available in half-ounce portions, 500g servings and 1kg",white,BLEACH,BLEACH
,,,Written books and periodicals,". </s><s> Behind the house, a rotting clothes line stretched, a forked hazel bough still holding it aloft. </s><s> Bird droppings whitened a window sill, and from the bottom of the broken front door Winnie saw a mouse scurry for cover in the dead grass by the door",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,". </s><s> Behind the house, a rotting clothes line stretched, a forked hazel bough still holding it aloft. </s><s> Bird droppings whitened a window sill, and from the bottom of the broken front door Winnie saw a mouse scurry for cover in the dead grass by the door",white,MAKE_WHITE,MAKE_WHITE
,,,Written books and periodicals,"and her stays would allow. </s><s> 'Oh bother!' she allowed herself a wee expletive and reached for the telephone daintily with whitened fingers. </s><s> Cook had the afternoon off and she had been coming to grips with her occasional souffle, when the 'monster' had",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"and her stays would allow. </s><s> 'Oh bother!' she allowed herself a wee expletive and reached for the telephone daintily with whitened fingers. </s><s> Cook had the afternoon off and she had been coming to grips with her occasional souffle, when the 'monster' had",white,ADJECTIVE,ADJECTIVE
,,,Written books and periodicals,skin? </s><s> Our cosmetics and toiletries have come a long way since the days when Elizabeth I used highly toxic lead powder to whiten and enhance her complexion! </s><s> But some dermatologists believe that today's skin products can do more harm than good. </s>,MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,skin? </s><s> Our cosmetics and toiletries have come a long way since the days when Elizabeth I used highly toxic lead powder to whiten and enhance her complexion! </s><s> But some dermatologists believe that today's skin products can do more harm than good. </s>,white,BLEACH,BLEACH
,,,Written books and periodicals,useful when brushing to lay them flat on the floor and to use a deck scrubber. </s><s> Finishing with hypochlorite is useful as it whitens the wood and removes stains thus improving appearance. </s><s> It should be noted that this type of shelf should be replaced,BLEACH,MAKE_WHITE,BLEACH,useful when brushing to lay them flat on the floor and to use a deck scrubber. </s><s> Finishing with hypochlorite is useful as it whitens the wood and removes stains thus improving appearance. </s><s> It should be noted that this type of shelf should be replaced,white,BLEACH,BLEACH
,,,Written books and periodicals,"wooden shelter was in place, already bleached by the sun. </s><s> In the refining sheds, the last of the cones stood, cooling and whitening , and dripping their slow, golden molasses into their jars. </s><s> There were not so many men about now. </s><s> Some had gone back to",BE(COME)_WHITE,BE(COME)_WHITE,BE(COME)_WHITE,"wooden shelter was in place, already bleached by the sun. </s><s> In the refining sheds, the last of the cones stood, cooling and whitening , and dripping their slow, golden molasses into their jars. </s><s> There were not so many men about now. </s><s> Some had gone back to",white,BE(COME)_WHITE,BE(COME)_WHITE
,,,Written books and periodicals,"stay with her.' </s><s> A smell of hot soup filled the room. </s><s> Like the mark of a slap, an arc of pink sprang across each of the boy's whitened cheeks. </s><s> He watched the bowl, and seized it, and then, meeting the physician's eyes, took the spoon and fed himself,",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"stay with her.' </s><s> A smell of hot soup filled the room. </s><s> Like the mark of a slap, an arc of pink sprang across each of the boy's whitened cheeks. </s><s> He watched the bowl, and seized it, and then, meeting the physician's eyes, took the spoon and fed himself,",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,". </s><s> She had that stone chess table made too and put inside. </s><s> Chess was Hammond's passion. </s><s> Jack watched the swollen knuckles whiten as Jamie gripped the wheel. </s><s> 'It's a shame he didn't stick to chess instead of cards,' the old man finished. </s><s> 'Was there",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,". </s><s> She had that stone chess table made too and put inside. </s><s> Chess was Hammond's passion. </s><s> Jack watched the swollen knuckles whiten as Jamie gripped the wheel. </s><s> 'It's a shame he didn't stick to chess instead of cards,' the old man finished. </s><s> 'Was there",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"for Gairloch. </s><s> Streamers of snow blew from its sharp-toothed ridges. </s><s> At each de-veiling of sleeting showers more snow whitened the tops and yet there were still leaves on the trees at the roadside. </s><s> On Loch Maree the islands were dumpy, thick with",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"for Gairloch. </s><s> Streamers of snow blew from its sharp-toothed ridges. </s><s> At each de-veiling of sleeting showers more snow whitened the tops and yet there were still leaves on the trees at the roadside. </s><s> On Loch Maree the islands were dumpy, thick with",white,MAKE_WHITE,MAKE_WHITE
,,,Written books and periodicals,: </s><s> 1. </s><s> Regular flossing of teeth is essential for healthy gums. </s><s> It helps to: a) strengthen teeth b) remove plaque c) whiten teeth </s><s> 2. </s><s> How many times a year do Jordan recommend that you change your toothbrush? a) 4 b) 1 c) 2 </s><s> 3. </s><s> In which Disney cartoon,MAKE_WHITE,BLEACH,BLEACH,: </s><s> 1. </s><s> Regular flossing of teeth is essential for healthy gums. </s><s> It helps to: a) strengthen teeth b) remove plaque c) whiten teeth </s><s> 2. </s><s> How many times a year do Jordan recommend that you change your toothbrush? a) 4 b) 1 c) 2 </s><s> 3. </s><s> In which Disney cartoon,white,BLEACH,BLEACH
,,,Written books and periodicals,"them.' </s><s> Murtach cocked a brow. </s><s> 'Indeed? </s><s> But then there are strange bedfellows about in these times, are there not?' </s><s> She whitened , and Riven saw the knuckles bunch on her riding whip. </s><s> But then she jerked her horse around savagely, and wheeled off with",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"them.' </s><s> Murtach cocked a brow. </s><s> 'Indeed? </s><s> But then there are strange bedfellows about in these times, are there not?' </s><s> She whitened , and Riven saw the knuckles bunch on her riding whip. </s><s> But then she jerked her horse around savagely, and wheeled off with",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"on the ground, and wisps of something immaterial. </s><s> The night went out. </s><s> Susan and I sat on the paling hillside as the sky whitened . </s><s> There was a slight breeze that riffled her hair. </s><s> As the dreamsun showed us the insubstantial outlines of the City down",WO_FOG,BE(COME)_WHITE,BE(COME)_WHITE,"on the ground, and wisps of something immaterial. </s><s> The night went out. </s><s> Susan and I sat on the paling hillside as the sky whitened . </s><s> There was a slight breeze that riffled her hair. </s><s> As the dreamsun showed us the insubstantial outlines of the City down",white,BE(COME)_WHITE,BE(COME)_WHITE
,,,Written books and periodicals,"do what your father did, could you, Nigel? </s><s> Business, women, even crime. </s><s> You just never made it.' </s><s> Nigel Steen's knuckles whitened around the gun and Charles uttered another silent prayer. </s><s> He seemed to be getting very religious all of a sudden. </s><s> '",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"do what your father did, could you, Nigel? </s><s> Business, women, even crime. </s><s> You just never made it.' </s><s> Nigel Steen's knuckles whitened around the gun and Charles uttered another silent prayer. </s><s> He seemed to be getting very religious all of a sudden. </s><s> '",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,class men played their part in the creation of a culture of respectability by the pride they took in their homes. </s><s> Freshly whitened steps signalled their status within the working class community and denoted the border of the respectable family's,BLEACH,COAT_WITH_WHITE,ADJECTIVE,class men played their part in the creation of a culture of respectability by the pride they took in their homes. </s><s> Freshly whitened steps signalled their status within the working class community and denoted the border of the respectable family's,white,COAT_WITH_WHITE,COAT_WITH_WHITE
,,,Written books and periodicals,", he said coldly: 'Not touch you? </s><s> I touch what's mine, if I so desire. </s><s> Do you think that you could stop me?' </s><s> Cassie's face whitened and she said, in a voice every bit as icy and disdainful as his own: </s><s> 'Where did you get hold of the idea that I was yours, John",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,", he said coldly: 'Not touch you? </s><s> I touch what's mine, if I so desire. </s><s> Do you think that you could stop me?' </s><s> Cassie's face whitened and she said, in a voice every bit as icy and disdainful as his own: </s><s> 'Where did you get hold of the idea that I was yours, John",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"the kitchen stove which was nothing but steel: I had to do that down every morning till you could see yourself in it; and whiten the hearth. </s><s> I polished the steel with bath-brick; and I also had to do the morning-room stove. </s><s> And that was all copper,",BLEACH,MAKE_WHITE,BLEACH,"the kitchen stove which was nothing but steel: I had to do that down every morning till you could see yourself in it; and whiten the hearth. </s><s> I polished the steel with bath-brick; and I also had to do the morning-room stove. </s><s> And that was all copper,",white,COAT_WITH_WHITE,COAT_WITH_WHITE
,,,Written books and periodicals,", has produced colour of a unique depth and resonance. </s><s> The result was painstakingly achieved. </s><s> Working in the enclosed, whitened space which is integral to the piece, Bargh laboriously applied and reapplied the loaded pigment, sanding the surface",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,", has produced colour of a unique depth and resonance. </s><s> The result was painstakingly achieved. </s><s> Working in the enclosed, whitened space which is integral to the piece, Bargh laboriously applied and reapplied the loaded pigment, sanding the surface",white,ADJECTIVE,ADJECTIVE
,,,Written books and periodicals,"BEAUTY </s><s> The juice of a raw potato contains anti-inflammatory properties which will soften, tighten and slightly whiten skin. </s><s> As a treat for puffy eyes and dark shadows, grate half a raw, peeled potato, then leave it on a saucer until the juice",MAKE_WHITE,BE(COME)_WHITE,MAKE_WHITE,"BEAUTY </s><s> The juice of a raw potato contains anti-inflammatory properties which will soften, tighten and slightly whiten skin. </s><s> As a treat for puffy eyes and dark shadows, grate half a raw, peeled potato, then leave it on a saucer until the juice",white,BLEACH,BLEACH
,,,Written books and periodicals,". </s><s> His use of skilled craftspeople to make his objects, his thorough-going professionalism, his choice of imagery – ' whitened ' black pop star Michael Jackson, porno-politician La Cicciolina – pose questions about the relationship between the",CONCEAL,MAKE_WHITE,ADJECTIVE,". </s><s> His use of skilled craftspeople to make his objects, his thorough-going professionalism, his choice of imagery – ' whitened ' black pop star Michael Jackson, porno-politician La Cicciolina – pose questions about the relationship between the",white,MAKE_IDENTITY_WHITE,MAKE_IDENTITY_WHITE
,,,Written books and periodicals,"and Hall; 1992, Pp. 275 –29.95, £47.50 </s><s> WHEN walking across the upland fells of Britain, it is not uncommon to find the whitened jawbone of a long-dead sheep, teeth rattling in its sockets. </s><s> Food for thought on a wet day for both the developmental and",ADJECTIVE,BE(COME)_WHITE,ADJECTIVE,"and Hall; 1992, Pp. 275 –29.95, £47.50 </s><s> WHEN walking across the upland fells of Britain, it is not uncommon to find the whitened jawbone of a long-dead sheep, teeth rattling in its sockets. </s><s> Food for thought on a wet day for both the developmental and",white,ADJECTIVE,ADJECTIVE
,,,Written books and periodicals,of terraced houses. </s><s> As she walked briskly along the turning in the cold morning air Nellie spotted Aggie Temple busily whitening her front doorstep and she smiled to herself. </s><s> Aggie was a spotlessly clean woman who prided herself on her housekeeping,BLEACH,COAT_WITH_WHITE,COAT_WITH_WHITE,of terraced houses. </s><s> As she walked briskly along the turning in the cold morning air Nellie spotted Aggie Temple busily whitening her front doorstep and she smiled to herself. </s><s> Aggie was a spotlessly clean woman who prided herself on her housekeeping,white,COAT_WITH_WHITE,COAT_WITH_WHITE
,,,Written books and periodicals,"aroused, leaned on Athelstan's arm and, standing on tiptoe, peered over the rim of the cart. </s><s> She stared in horror at the whitened , frozen cadavers which lay there under a tattered, canvas sheet. </s><s> Their limbs hung all awry but round the neck of each was",ADJECTIVE,ADJECTIVE,ADJECTIVE,"aroused, leaned on Athelstan's arm and, standing on tiptoe, peered over the rim of the cart. </s><s> She stared in horror at the whitened , frozen cadavers which lay there under a tattered, canvas sheet. </s><s> Their limbs hung all awry but round the neck of each was",white,ADJECTIVE,ADJECTIVE
,,,Written books and periodicals,"his eyes and breathed a prayer as he glimpsed the blue-black holes where the hungry ravens had pecked at the scrawny, whitening flesh. </s><s> 'God rest him!' </s><s> Cranston murmured. </s><s> 'Brother, there is nothing we can do.' </s><s> They moved on through a silent,",ADJECTIVE,ADJECTIVE,ADJECTIVE,"his eyes and breathed a prayer as he glimpsed the blue-black holes where the hungry ravens had pecked at the scrawny, whitening flesh. </s><s> 'God rest him!' </s><s> Cranston murmured. </s><s> 'Brother, there is nothing we can do.' </s><s> They moved on through a silent,",white,BE(COME)_WHITE,BE(COME)_WHITE
,,,Written miscellaneous,"falter. </s><s> 'Guilty,' the aged tones knoll forth, </s><s> 'of innocence in the first degree.' </s><s> As today's soot blackens </s><s> The whitened case </s><s> It rattles as the carcass turns </s><s> Rootless </s><s> Breathless from play </s><s> As 10,000 brows furrow in disbelief. </s><s> A whispered, '",ADJECTIVE,ADJECTIVE,ADJECTIVE,"falter. </s><s> 'Guilty,' the aged tones knoll forth, </s><s> 'of innocence in the first degree.' </s><s> As today's soot blackens </s><s> The whitened case </s><s> It rattles as the carcass turns </s><s> Rootless </s><s> Breathless from play </s><s> As 10,000 brows furrow in disbelief. </s><s> A whispered, '",white,ADJECTIVE,ADJECTIVE
,,,Spoken context-governed,"that table is in It's been stripped. </s><s> Now the first er process after that, it's all sanded down, and then there's a sort of whitening mixture, stooking mixture, is all rubbed into that and you've to wait till it dries. </s><s> Then that's rubbed up, that's to",COAT_WITH_WHITE,NOUN,NOUN,"that table is in It's been stripped. </s><s> Now the first er process after that, it's all sanded down, and then there's a sort of whitening mixture, stooking mixture, is all rubbed into that and you've to wait till it dries. </s><s> Then that's rubbed up, that's to",white,COAT_WITH_WHITE,COAT_WITH_WHITE
,,,Written books and periodicals,of black greasy hair; as if to tug those and release an inner pressure. </s><s> And Yeremi Valence? </s><s> The runes on his cheeks had whitened . </s><s> Lexandro sensed homicidal – xenocidal – pheromones upon the air. </s><s> Another cadet – freckled Hake Bjortson – totally,BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,of black greasy hair; as if to tug those and release an inner pressure. </s><s> And Yeremi Valence? </s><s> The runes on his cheeks had whitened . </s><s> Lexandro sensed homicidal – xenocidal – pheromones upon the air. </s><s> Another cadet – freckled Hake Bjortson – totally,white,BE(COME)_PALE,BE(COME)_PALE
