Reference,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_whiten_EHCB_GENERIC,GPT_CATEGORY
1597,,,,"turne into a citrine colour infinitely, and changeth all mettals into pure gold. </s><s> And the white Elixir doth insinitely whiten , and bringeth euerie mettal to perfect whitenesse. </s><s> But we know that one mettall is farther off from perfection then",BLEACH,MAKE_PURE,BLEACH,"turne into a citrine colour infinitely, and changeth all mettals into pure gold. </s><s> And the white Elixir doth insinitely whiten , and bringeth euerie mettal to perfect whitenesse. </s><s> But we know that one mettall is farther off from perfection then",white,MAKE_PURE,MAKE_PURE
1597,,,,"is the liquefaction of the body: to incerate belongeth properly to the body, and is the subtiliation thereof: to whiten , is properly to melt speedily: to congeale, is to congeale the body with the soule alreadie prepared. </s><s> Againe, flight",BLEACH,BLEACH,BLEACH,"is the liquefaction of the body: to incerate belongeth properly to the body, and is the subtiliation thereof: to whiten , is properly to melt speedily: to congeale, is to congeale the body with the soule alreadie prepared. </s><s> Againe, flight",white,MAKE_PURE,MAKE_PURE
1597,,,,", is to congeale the body with the soule alreadie prepared. </s><s> Againe, flight appertaineth to the body and soule: to melt, whiten , incerate, and dissolue, belong vnto the body, and congelation to the soule. </s><s> Bee wise and vnderstand. </s><s> CHAP XIIII. </s><s> That",BLEACH,BLEACH,BLEACH,", is to congeale the body with the soule alreadie prepared. </s><s> Againe, flight appertaineth to the body and soule: to melt, whiten , incerate, and dissolue, belong vnto the body, and congelation to the soule. </s><s> Bee wise and vnderstand. </s><s> CHAP XIIII. </s><s> That",white,MAKE_PURE,MAKE_PURE
1613,,,,", charme their tongues from Blasphemies, their heartes from Vanities; you shall almost as good bath a Moore, in hope to whiten him. </s><s> Men naturally loue any thing better then Righteousnesse, and thinke any burden lighter then Repentance: Hence it",MAKE_PURE,MAKE_PURE,MAKE_PURE,", charme their tongues from Blasphemies, their heartes from Vanities; you shall almost as good bath a Moore, in hope to whiten him. </s><s> Men naturally loue any thing better then Righteousnesse, and thinke any burden lighter then Repentance: Hence it",white,MAKE_PURE,MAKE_PURE
1638,,,,"as great a difference, as betweene cleannesse and whitenesse; for that washing was to cleanse us; but this washing is to whiten us; of that it was said; Wash mee, and I shall be cleane; but of this, it is said; Wash mee, and I shall be whiter thau snow:",MAKE_PURE,MAKE_PURE,MAKE_PURE,"as great a difference, as betweene cleannesse and whitenesse; for that washing was to cleanse us; but this washing is to whiten us; of that it was said; Wash mee, and I shall be cleane; but of this, it is said; Wash mee, and I shall be whiter thau snow:",white,MAKE_PURE,MAKE_PURE
1612,,,,"her child with her bloud, in her wombe, as to deny it her milke being borne? ſince the milk is nothing elſe but bloud whitened , beeing now brought to perfection and maturity. </s><s> But ſome will ſay that the child may bee deliuered to ſome other Woman,",BE(COME)_WHITE,MAKE_WHITE,BE(COME)_WHITE,"her child with her bloud, in her wombe, as to deny it her milke being borne? ſince the milk is nothing elſe but bloud whitened , beeing now brought to perfection and maturity. </s><s> But ſome will ſay that the child may bee deliuered to ſome other Woman,",white,BE(COME)_WHITE,BE(COME)_WHITE
1612,,,,"<s> THough it were fit, that euery mother ſhould nurſe her owne child: becauſe her milke which is nothing elſe, but the bloud whitened (of which he was made, and wherwith hee had beene nouriſhed the time hee ſtaide in his Mothers wombe) will bee alwaies",BE(COME)_WHITE,MAKE_WHITE,BE(COME)_WHITE,"<s> THough it were fit, that euery mother ſhould nurſe her owne child: becauſe her milke which is nothing elſe, but the bloud whitened (of which he was made, and wherwith hee had beene nouriſhed the time hee ſtaide in his Mothers wombe) will bee alwaies",white,BE(COME)_WHITE,BE(COME)_WHITE
1640,,,,"that fits the heart for peace, (indeed all other graces) is humility: That cloth which the Fuller would perfectly whiten , yeelds it selfe to be trampled upon; They are low pits, wherein the starres may be seen by day; They are the valleyes, and",BLEACH,MAKE_WHITE,BLEACH,"that fits the heart for peace, (indeed all other graces) is humility: That cloth which the Fuller would perfectly whiten , yeelds it selfe to be trampled upon; They are low pits, wherein the starres may be seen by day; They are the valleyes, and",white,BLEACH,BLEACH
1633,,,,"of beaſts even then permitted to be eaten, and ſo was the milke, being nothing elſe but blood refined and dealbuted or whitened in theſe gloobus mamillarie glands. </s><s> Moreover, if this had beene ſimply and in it ſelfe a ſinne, and had obliged us",BE(COME)_WHITE,MAKE_WHITE,BE(COME)_WHITE,"of beaſts even then permitted to be eaten, and ſo was the milke, being nothing elſe but blood refined and dealbuted or whitened in theſe gloobus mamillarie glands. </s><s> Moreover, if this had beene ſimply and in it ſelfe a ſinne, and had obliged us",white,BE(COME)_WHITE,BE(COME)_WHITE
1640,,,,"absent, and the house dead. </s><s> 941. </s><s> Dogs are fine in the field </s><s> 942. </s><s> Sinnes are not knowne till they bee acted. </s><s> 943. </s><s> Thornes whiten yet doe nothing▪ </s><s> 944. </s><s> All are presumed good, till they are found in a fault. </s><s> 945. </s><s> The great put the little on th hooke. </s><s> 946. </s>",BE(COME)_WHITE,BE(COME)_WHITE,BE(COME)_WHITE,"absent, and the house dead. </s><s> 941. </s><s> Dogs are fine in the field </s><s> 942. </s><s> Sinnes are not knowne till they bee acted. </s><s> 943. </s><s> Thornes whiten yet doe nothing▪ </s><s> 944. </s><s> All are presumed good, till they are found in a fault. </s><s> 945. </s><s> The great put the little on th hooke. </s><s> 946. </s>",white,BE(COME)_WHITE,BE(COME)_WHITE
1587,,,,"maieſtie of God. </s><s> This herbe Borith or Struthion, which we heere cal Sopewort or fullers weed, doth naturally (indeed) whiten and ſcowre wollen clothes, and that excellently: ſo doth Sope ſupple and ſmooth the skin; and taketh away the ſpots,",BLEACH,BLEACH,BLEACH,"maieſtie of God. </s><s> This herbe Borith or Struthion, which we heere cal Sopewort or fullers weed, doth naturally (indeed) whiten and ſcowre wollen clothes, and that excellently: ſo doth Sope ſupple and ſmooth the skin; and taketh away the ſpots,",white,BLEACH,BLEACH
1587,,,,"be made in Italie fine Toothpickers, like as they doe in the Lowe Countries, of Iuniper and Baies, verie good to clenſe, whiten and mundifie the teeth withall. </s><s> Inſomuch that it is growen into a common byworde or prouerbe, when we wil note any",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"be made in Italie fine Toothpickers, like as they doe in the Lowe Countries, of Iuniper and Baies, verie good to clenſe, whiten and mundifie the teeth withall. </s><s> Inſomuch that it is growen into a common byworde or prouerbe, when we wil note any",white,BLEACH,BLEACH
1609,,,,"into that countrie for to lade their ſhippes with it. </s><s> The fire of it is almoſt without ſmoake. </s><s> But hee that would thinke to whiten his linnen with the aſhes of that wood, would farre deceiue himſelfe. </s><s> For he ſhould finde it died in redde. </s><s> They haue alſo",BLEACH,BLEACH,BLEACH,"into that countrie for to lade their ſhippes with it. </s><s> The fire of it is almoſt without ſmoake. </s><s> But hee that would thinke to whiten his linnen with the aſhes of that wood, would farre deceiue himſelfe. </s><s> For he ſhould finde it died in redde. </s><s> They haue alſo",white,BLEACH,BLEACH
1637,,,,"Factions, within and without; for the Muskets playd continually as thicke on others faces, as the Winter-hayle, which whiten the ground. </s><s> Both Nations attempted the Hornewarke in the evening, but were beaten backe againe to their great",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"Factions, within and without; for the Muskets playd continually as thicke on others faces, as the Winter-hayle, which whiten the ground. </s><s> Both Nations attempted the Hornewarke in the evening, but were beaten backe againe to their great",white,MAKE_WHITE,MAKE_WHITE
1634,,,,"flint ſtones calcined, and made into fine powder, then colour it, and make of it what you pleaſe, and let them dry. </s><s> How to whiten copper. </s><s> TAke a thin plate of copper, heat it red-hot divers times, and extinguiſh it in common oyl of tartar, and it will",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"flint ſtones calcined, and made into fine powder, then colour it, and make of it what you pleaſe, and let them dry. </s><s> How to whiten copper. </s><s> TAke a thin plate of copper, heat it red-hot divers times, and extinguiſh it in common oyl of tartar, and it will",white,MAKE_WHITE,MAKE_WHITE
1623,,,,"a foule and vncertaine waie, and I would not wish any good House-wife to vse it. </s><s> Of the scowring of yarne Bucking of yarne. </s><s> Whitening of yarne. </s><s> Of winding yarne. </s><s> Of warping and weauing. </s><s> After your cloth is wouen,Aprill and May. </s><s> Now the course and worst",BLEACH,MAKE_WHITE,BLEACH,"a foule and vncertaine waie, and I would not wish any good House-wife to vse it. </s><s> Of the scowring of yarne Bucking of yarne. </s><s> Whitening of yarne. </s><s> Of winding yarne. </s><s> Of warping and weauing. </s><s> After your cloth is wouen,Aprill and May. </s><s> Now the course and worst",white,BLEACH,BLEACH
1631,,,,": but then a couple of cleane buckes as was before ſhewed in the yarne) the next fortnight following; and then being whitened enough, dry vp the cloth, and vſe it as occaſion ſhall require; the beſt ſeaſon for the ſame whitening being in Aprill and",BLEACH,MAKE_WHITE,BLEACH,": but then a couple of cleane buckes as was before ſhewed in the yarne) the next fortnight following; and then being whitened enough, dry vp the cloth, and vſe it as occaſion ſhall require; the beſt ſeaſon for the ſame whitening being in Aprill and",white,BLEACH,BLEACH
1634,,,,"affected. </s><s> Many other are content with bread only toſted & beaten; but this following water is very effectuall to whiten the teeth. ℞. ſal. ammon. & gemmei, an. ℥i. alum. roch. ℥ſs. aquae roſ. quod ſufficit, deſtillentur. </s><s> And let the teeth be",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"affected. </s><s> Many other are content with bread only toſted & beaten; but this following water is very effectuall to whiten the teeth. ℞. ſal. ammon. & gemmei, an. ℥i. alum. roch. ℥ſs. aquae roſ. quod ſufficit, deſtillentur. </s><s> And let the teeth be",white,BLEACH,BLEACH
1634,,,,"roughneſſe of the skin, as alſo oile of lillies; hares bloud of one newly killed and hot is good to fill and plaine, as alſo whiten the Pock-holes, if they bee often rubbed therewith. </s><s> In ſtead here of many uſe the ſwathe of Bacon rubbed warme thereon;",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"roughneſſe of the skin, as alſo oile of lillies; hares bloud of one newly killed and hot is good to fill and plaine, as alſo whiten the Pock-holes, if they bee often rubbed therewith. </s><s> In ſtead here of many uſe the ſwathe of Bacon rubbed warme thereon;",white,BLEACH,BLEACH
1634,,,,"adviſe. </s><s> CHAP. </s><s> XXXVIII. </s><s> Of Dentifrices. </s><s> DEntifrices are medicines prepared and ſerving divers waies for to cleanſe, whiten , and faſten the teeth; for from their uſe they take balauſtia, acornes, all ſorts of ſhels of fiſhes: all theſe are to bee",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"adviſe. </s><s> CHAP. </s><s> XXXVIII. </s><s> Of Dentifrices. </s><s> DEntifrices are medicines prepared and ſerving divers waies for to cleanſe, whiten , and faſten the teeth; for from their uſe they take balauſtia, acornes, all ſorts of ſhels of fiſhes: all theſe are to bee",white,BLEACH,BLEACH
1634,,,,"diſſolved in them, & as it were ſhaved from the top of the Alembecke or head, defiles the diſtilled liquors, and whitens and turnes them into a milky ſubſtance but copper or braſſe terra belovacenſis, and theſe rather than of Lead, or any",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"diſſolved in them, & as it were ſhaved from the top of the Alembecke or head, defiles the diſtilled liquors, and whitens and turnes them into a milky ſubſtance but copper or braſſe terra belovacenſis, and theſe rather than of Lead, or any",white,MAKE_WHITE,MAKE_WHITE
1612,,,,"in the shauings of horne, which the finer you cut them the whiter they appear so t at in these & the like bodi s the cause of whiten sse is nothing else (as I said) then an o t r flection of the light possessing our ies and the aire or medium with many beames",NOUN,NOUN,NOUN,"in the shauings of horne, which the finer you cut them the whiter they appear so t at in these & the like bodi s the cause of whiten sse is nothing else (as I said) then an o t r flection of the light possessing our ies and the aire or medium with many beames",white,BE(COME)_WHITE,BE(COME)_WHITE
1629,,,,"not so small, so faire: </s><s> H r lips like Rubies, and you''d thinke, within, </s><s> In stead of teeth, that orient Pearles had bin: </s><s> The whiten sse of her dainty n ck you know, </s><s> If euer you behold the new-salne Snow; </s><s> Her Swan-like brests were like two little Spheares",NOUN,NOUN,NOUN,"not so small, so faire: </s><s> H r lips like Rubies, and you''d thinke, within, </s><s> In stead of teeth, that orient Pearles had bin: </s><s> The whiten sse of her dainty n ck you know, </s><s> If euer you behold the new-salne Snow; </s><s> Her Swan-like brests were like two little Spheares",white,ADJECTIVE,ADJECTIVE
1638,,,,", trussing, buttoning, </s><s> And a that afflict humanity. </s><s> Phil. </s><s> To ! shee hath made this cheek </s><s> By much too , and hath forgot to whiten </s><s> The naturall rednesse of my nose, she knowes not </s><s> What ''tis wants dealbation! </s><s> O fine memory! </s><s> If she has not set me in the",MAKE_WHITE,BE(COME)_PALE,COAT_WITH_WHITE,", trussing, buttoning, </s><s> And a that afflict humanity. </s><s> Phil. </s><s> To ! shee hath made this cheek </s><s> By much too , and hath forgot to whiten </s><s> The naturall rednesse of my nose, she knowes not </s><s> What ''tis wants dealbation! </s><s> O fine memory! </s><s> If she has not set me in the",white,BLEACH,BLEACH
1611,,,,"grant, the greatest spot you spie </s><s> In all my Frame, may be but as the Fly, </s><s> Which on her Ruff (whiter than whitest snowes) </s><s> To whiten white, the fairest Virgin fowes: </s><s> (Or like the Veluet on her brow: or, like </s><s> The dunker Mole on Venus dainty Cheek:) </s><s> And,",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"grant, the greatest spot you spie </s><s> In all my Frame, may be but as the Fly, </s><s> Which on her Ruff (whiter than whitest snowes) </s><s> To whiten white, the fairest Virgin fowes: </s><s> (Or like the Veluet on her brow: or, like </s><s> The dunker Mole on Venus dainty Cheek:) </s><s> And,",white,MAKE_WHITE,MAKE_WHITE
1627,,,,", &c. and the Priest did his service in them▪ it was unlawfull. </s><s> Every Priests garment that was made filthy, they did not whiten it, or wash it, but leave it for threds (or weke,) and put on new. </s><s> The high Prists garments, when they were old, were laid up",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,", &c. and the Priest did his service in them▪ it was unlawfull. </s><s> Every Priests garment that was made filthy, they did not whiten it, or wash it, but leave it for threds (or weke,) and put on new. </s><s> The high Prists garments, when they were old, were laid up",white,BLEACH,BLEACH
1640,,,,"excellent, will buy their Painting deare, </s><s> Which on their cheeks lyes thick, to shew their store </s><s> Like parched Walls new whiten ''d, Oker''d ore. </s><s> Was not her face I courted, but th'' refin''d </s><s> Inestimable Iewell of her minde. </s><s> She has within her that which",COAT_WITH_WHITE,ADJECTIVE,COAT_WITH_WHITE,"excellent, will buy their Painting deare, </s><s> Which on their cheeks lyes thick, to shew their store </s><s> Like parched Walls new whiten ''d, Oker''d ore. </s><s> Was not her face I courted, but th'' refin''d </s><s> Inestimable Iewell of her minde. </s><s> She has within her that which",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1633,,,,"and sweet-sented. </s><s> Thirdly, hee hath made the persecutors his scullions, to make bright his Vessels, his Fullers to whiten his children; his Goldsmiths, to melt his gold, and purifie it, not to consume it; his Threshers, onely with this flayle",MAKE_PURE,MAKE_PURE,MAKE_PURE,"and sweet-sented. </s><s> Thirdly, hee hath made the persecutors his scullions, to make bright his Vessels, his Fullers to whiten his children; his Goldsmiths, to melt his gold, and purifie it, not to consume it; his Threshers, onely with this flayle",white,MAKE_PURE,MAKE_PURE
1630,,,,"offend him. </s><s> He heares the voice of the Spirit purging and cleansing him by afflictions, as by the Lords fanne, and whitening him by this sope of afflictions: Dan. 12.10. </s><s> II. </s><s> The Lord speakes inwardly by a still voice in the heart: </s><s> Many are the",MAKE_PURE,MAKE_PURE,MAKE_PURE,"offend him. </s><s> He heares the voice of the Spirit purging and cleansing him by afflictions, as by the Lords fanne, and whitening him by this sope of afflictions: Dan. 12.10. </s><s> II. </s><s> The Lord speakes inwardly by a still voice in the heart: </s><s> Many are the",white,MAKE_PURE,MAKE_PURE
1609,,,,"deepe roote in our hearts downewards, and bring forth fruit plentifully in our liues vpwards; and that as the Sunne doth whiten cloth, reſolue the ſnow, melt the hardeſt yee, and giue light vnto the world, ſo his word may melt our hearts, and whiten",BLEACH,MAKE_WHITE,BLEACH,"deepe roote in our hearts downewards, and bring forth fruit plentifully in our liues vpwards; and that as the Sunne doth whiten cloth, reſolue the ſnow, melt the hardeſt yee, and giue light vnto the world, ſo his word may melt our hearts, and whiten",white,BLEACH,BLEACH
1609,,,,"whiten cloth, reſolue the ſnow, melt the hardeſt yee, and giue light vnto the world, ſo his word may melt our hearts, and whiten them; and ſo diſpell the darkeneſſe of our mindes, as that we may repent of all our ſins, and ſee the riches of his grace,",MAKE_PURE,MAKE_PURE,MAKE_PURE,"whiten cloth, reſolue the ſnow, melt the hardeſt yee, and giue light vnto the world, ſo his word may melt our hearts, and whiten them; and ſo diſpell the darkeneſſe of our mindes, as that we may repent of all our ſins, and ſee the riches of his grace,",white,MAKE_PURE,MAKE_PURE
1640,,,,"absent, and the house dead. </s><s> 941. </s><s> Dogs are fine in the field▪ </s><s> 942. </s><s> Sinnes are not knowne till they bee acted. </s><s> 943. </s><s> Thornes whiten yet doe nothing. </s><s> 944. </s><s> All are presumed good, till they are found in a fault. </s><s> 945. </s><s> The great put the little on the hooke. </s><s> 946",REPEATED,REPEATED,REPEATED,"absent, and the house dead. </s><s> 941. </s><s> Dogs are fine in the field▪ </s><s> 942. </s><s> Sinnes are not knowne till they bee acted. </s><s> 943. </s><s> Thornes whiten yet doe nothing. </s><s> 944. </s><s> All are presumed good, till they are found in a fault. </s><s> 945. </s><s> The great put the little on the hooke. </s><s> 946",white,BE(COME)_WHITE,BE(COME)_WHITE
1558,,,,"white teeth, whiche is the pommeiſe ſtone alone, ſo that it be of that fyne and whyte ſtone, whiche ſhoemakers doo vſe to whiten whyte leather Shoes, and well beaten in poulder: For in rubbinge youre teeth with the ſame poulder, if ſcoureth and",BLEACH,COAT_WITH_WHITE,COAT_WITH_WHITE,"white teeth, whiche is the pommeiſe ſtone alone, ſo that it be of that fyne and whyte ſtone, whiche ſhoemakers doo vſe to whiten whyte leather Shoes, and well beaten in poulder: For in rubbinge youre teeth with the ſame poulder, if ſcoureth and",white,BLEACH,BLEACH
1560,,,,", mixe all this togither, and ſtill water of it in a limbeck, & this water will take awaie the ſtinking of the breath, whiten the teeth and maintaine helth long. </s><s> A water to make cleane teeth. </s><s> TAke ſalt Armoniac, and ſalt Gemma, three vnces of eche",BLEACH,MAKE_WHITE,BLEACH,", mixe all this togither, and ſtill water of it in a limbeck, & this water will take awaie the ſtinking of the breath, whiten the teeth and maintaine helth long. </s><s> A water to make cleane teeth. </s><s> TAke ſalt Armoniac, and ſalt Gemma, three vnces of eche",white,BLEACH,BLEACH
1560,,,,"daies, and with this licour diſtilled, or ſo tempered, you ſhal rubbe your teeth and they will be white. </s><s> Another water to whiten teeth. </s><s> TAke a pounde of ſalt well purged, and beaten, an vnce of Alumen Glaciale, and diſtill it in a limbeck, and mingle",BLEACH,MAKE_WHITE,BLEACH,"daies, and with this licour diſtilled, or ſo tempered, you ſhal rubbe your teeth and they will be white. </s><s> Another water to whiten teeth. </s><s> TAke a pounde of ſalt well purged, and beaten, an vnce of Alumen Glaciale, and diſtill it in a limbeck, and mingle",white,BLEACH,BLEACH
1560,,,,". </s><s> For the ſtinkyng of the breath, and to make the teeth white. idem. </s><s> A water to make cleane teeth. idem. </s><s> An other water to whiten teeth. </s><s> Fol. 39. </s><s> To take awaie the ſmell of Garlike, Leekes, or. idem </s><s> A principall remedie for the flixe or laxe. idem. </s><s> For",BLEACH,MAKE_WHITE,BLEACH,". </s><s> For the ſtinkyng of the breath, and to make the teeth white. idem. </s><s> A water to make cleane teeth. idem. </s><s> An other water to whiten teeth. </s><s> Fol. 39. </s><s> To take awaie the ſmell of Garlike, Leekes, or. idem </s><s> A principall remedie for the flixe or laxe. idem. </s><s> For",white,BLEACH,BLEACH
1638,,,,"old man is loved? </s><s> What may his body present to delight the sight? </s><s> Hee presents crooked lims, a rugged forehead, an head whitened with hoary haires, weaknesse in all parts, full of aches and complaints. </s><s> But, perchance, though this decrepit old man",ADJECTIVE,ADJECTIVE,ADJECTIVE,"old man is loved? </s><s> What may his body present to delight the sight? </s><s> Hee presents crooked lims, a rugged forehead, an head whitened with hoary haires, weaknesse in all parts, full of aches and complaints. </s><s> But, perchance, though this decrepit old man",white,BE(COME)_WHITE,BE(COME)_WHITE
1615,,,,", whatsoere they show. </s><s> Their painted Vizards couer naked sinne, </s><s> Which seeming faire, are euer foule within. </s><s> A whiten wall, a rotten odious tombe, </s><s> That prostitutes her selfe to all that come. </s><s> To all that come, hence then''s affection crost",ADJECTIVE,ADJECTIVE,ADJECTIVE,", whatsoere they show. </s><s> Their painted Vizards couer naked sinne, </s><s> Which seeming faire, are euer foule within. </s><s> A whiten wall, a rotten odious tombe, </s><s> That prostitutes her selfe to all that come. </s><s> To all that come, hence then''s affection crost",white,ADJECTIVE,ADJECTIVE
1608,,,,"vnitie of one ſpring or fountaine, nor the diuerſitie of effects in the Sunne, to heat, to enlighten, to melt, to drie, to whiten , to make blacke, do diſſipate the vnitie and ſimplicitie of the Sunne; for ſhould they, there would be a great number of",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"vnitie of one ſpring or fountaine, nor the diuerſitie of effects in the Sunne, to heat, to enlighten, to melt, to drie, to whiten , to make blacke, do diſſipate the vnitie and ſimplicitie of the Sunne; for ſhould they, there would be a great number of",white,MAKE_WHITE,MAKE_WHITE
