Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_pink_COCA_GENERIC,GPT_CATEGORY
11,2012,FIC,Bk:TouchRogue,how to use it. Last week he'd fended off a would-be thief and pinked him proper in the upper arm. He stepped into a shaft of moonlight pouring,NONE,NONE,NONE,how to use it. Last week he'd fended off a would-be thief and pinked him proper in the upper arm. He stepped into a shaft of moonlight pouring,unknown,NONE,NONE
12,2012,MAG,HistoryToday,"British imperialism in terms of informal influence, certain countries outside the empire can be pinked in, too. You might also put a few drops of red into the",MAKE_PINK,MAKE_PINK,MAKE_PINK,"British imperialism in terms of informal influence, certain countries outside the empire can be pinked in, too. You might also put a few drops of red into the",unknown,MAKE_PINK,MAKE_PINK
13,2012,WEB,...knowles.blogspot.com,"3D on a bulletin board! # A favorite quote, printed out and "" pinked "" at the edges with a pair of fancy scissors. John Ruskin said it",NONE,NONE,NONE,"3D on a bulletin board! # A favorite quote, printed out and "" pinked "" at the edges with a pair of fancy scissors. John Ruskin said it",unknown,NONE,NONE
14,2012,WEB,...ootsweb.ancestry.com,"a bit farther, the Ask Lad found an old willow hank, so he pinked it up. "" Look what I found! Look what I found! """,NONE,NONE,NONE,"a bit farther, the Ask Lad found an old willow hank, so he pinked it up. "" Look what I found! Look what I found! """,unknown,NONE,NONE
15,2011,FIC,Bk:ParadiseDogs,"the best time of day. He wished it were earlier, while sunrise still pinked the sky between the telephone wires on East Central and the air was not yet",MAKE_PINK,MAKE_PINK,MAKE_PINK,"the best time of day. He wished it were earlier, while sunrise still pinked the sky between the telephone wires on East Central and the air was not yet",unknown,BE(COME)_PINK,BE(COME)_PINK
16,2010,FIC,Commentary,". "" Drew opened his tiny mouth, gasped, and wailed. His skin pinked up and I found myself cutting the umbilical cord. It felt like slicing into",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,". "" Drew opened his tiny mouth, gasped, and wailed. His skin pinked up and I found myself cutting the umbilical cord. It felt like slicing into",unknown,BE(COME)_PINK,BE(COME)_PINK
17,2010,TV,The Pacific,"Man: Ouch. - Did I tell you? Feisty. Snafu just got pinked on the train home. If we'd had been here six months ago,",NONE,ADJECTIVE,NONE,"Man: Ouch. - Did I tell you? Feisty. Snafu just got pinked on the train home. If we'd had been here six months ago,",unknown,NONE,NONE
18,2009,FIC,Bk:Roanoke,"and peach-color and lion-tawny. # The queen herself wears dove-grey velvet, the sleeves pinked with claret-colored satin and the skirt and bodice and stomacher sewn with hundreds of pearls",MAKE_PINK,MAKE_PINK,MAKE_PINK,"and peach-color and lion-tawny. # The queen herself wears dove-grey velvet, the sleeves pinked with claret-colored satin and the skirt and bodice and stomacher sewn with hundreds of pearls",unknown,ADJECTIVE,ADJECTIVE
19,2007,FIC,NewEnglandRev,"you what time each day you should drink Dr. Pepper. "" Ladonna's face pinked. How could she not have noticed that it wasn't a real clock?",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"you what time each day you should drink Dr. Pepper. "" Ladonna's face pinked. How could she not have noticed that it wasn't a real clock?",unknown,BE(COME)_PINK,BE(COME)_PINK
20,2007,MAG,GoodHousekeeping,""" Her color was gray until we did a third defibrillation and she finally "" pinked up,'' "" says Kitty Pitsenbarger, a member of the volunteer rescue",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,""" Her color was gray until we did a third defibrillation and she finally "" pinked up,'' "" says Kitty Pitsenbarger, a member of the volunteer rescue",unknown,BE(COME)_PINK,BE(COME)_PINK
21,2007,MAG,Parenting,"He wasn't struggling to breathe, his Apgar scores were good, and he pinked right up. The delivery room nurses took him to the nursery, explaining that",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"He wasn't struggling to breathe, his Apgar scores were good, and he pinked right up. The delivery room nurses took him to the nursery, explaining that",unknown,BE(COME)_PINK,BE(COME)_PINK
22,2006,NEWS,USAToday,"of emergency medical services for the San Francisco Fire Department. "" They said patients pinked up. "" # Emergency medical crews in Richmond, Va., who also report",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"of emergency medical services for the San Francisco Fire Department. "" They said patients pinked up. "" # Emergency medical crews in Richmond, Va., who also report",unknown,BE(COME)_PINK,BE(COME)_PINK
23,2005,MAG,CountryLiving,"rear corners, keep this pillow prettily in place. CARPET TILES: INTERFACEFLOR. hand pinked A typical Queen Anne chair? Not! Color changed the life of this traditional",MAKE_PINK,MAKE_PINK,MAKE_PINK,"rear corners, keep this pillow prettily in place. CARPET TILES: INTERFACEFLOR. hand pinked A typical Queen Anne chair? Not! Color changed the life of this traditional",unknown,NONE,NONE
24,2004,FIC,FantasySciFi,". he looks at her with those blue eyes, his pale face only slightly pinked by a scattering of freckles like brown sugar. She knows he is not considered",BE(COME)_PINK,MAKE_PINK,MAKE_PINK,". he looks at her with those blue eyes, his pale face only slightly pinked by a scattering of freckles like brown sugar. She knows he is not considered",unknown,ADJECTIVE,ADJECTIVE
25,2004,MAG,PopScience,"His fugitive appearances in the high-desert sun have not so much tanned his skin as pinked it, like baby back ribs after you've wood-smoked them for seven hours.",MAKE_PINK,MAKE_PINK,MAKE_PINK,"His fugitive appearances in the high-desert sun have not so much tanned his skin as pinked it, like baby back ribs after you've wood-smoked them for seven hours.",unknown,BE(COME)_PINK,BE(COME)_PINK
26,2001,TV,Band of Brothers,we lost anybody? Tommy Burgess took one in the face. Popeye Wynn got pinked in the behind. But they're gon na be okay. That's good,NONE,ADJECTIVE,NONE,we lost anybody? Tommy Burgess took one in the face. Popeye Wynn got pinked in the behind. But they're gon na be okay. That's good,unknown,NONE,NONE
27,2001,TV,Band of Brothers,"consider us blessed. Now, Liebgott, the skinny little guy, he got pinked in the neck in Holland. And right next to him, that other skinny",NONE,ADJECTIVE,NONE,"consider us blessed. Now, Liebgott, the skinny little guy, he got pinked in the neck in Holland. And right next to him, that other skinny",unknown,NONE,NONE
28,2000,FIC,SouthernRev,"gravity-defying fifteen-yearold right breast, and quivers there. Her ribs beneath the thin skin pinked by the heat of the shower are outlined with a breathtaking delicacy. She has",BE(COME)_PINK,MAKE_PINK,MAKE_PINK,"gravity-defying fifteen-yearold right breast, and quivers there. Her ribs beneath the thin skin pinked by the heat of the shower are outlined with a breathtaking delicacy. She has",unknown,BE(COME)_PINK,BE(COME)_PINK
29,1998,TV,ER,"that. Some of the pesticides in a hothouse contain cyanide. He'd have pinked up with the oxygen. Besides, I've got good pulses and there's",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"that. Some of the pesticides in a hothouse contain cyanide. He'd have pinked up with the oxygen. Besides, I've got good pulses and there's",unknown,BE(COME)_PINK,BE(COME)_PINK
30,1996,FIC,Bk:ObjectsMirror,"(I discovered that evening, in the bathroom mirror, that my face was pinked from the sun. For the next couple of days, people kept asking me",BE(COME)_PINK,ADJECTIVE,BE(COME)_PINK,"(I discovered that evening, in the bathroom mirror, that my face was pinked from the sun. For the next couple of days, people kept asking me",unknown,BE(COME)_PINK,BE(COME)_PINK
31,1993,FIC,Ploughshares,"fattened, the definition of her hipbones blurred. The areolas of her nipples had pinked and swollen. In their stems, openings had appeared, tiny as tear ducts",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"fattened, the definition of her hipbones blurred. The areolas of her nipples had pinked and swollen. In their stems, openings had appeared, tiny as tear ducts",unknown,BE(COME)_PINK,BE(COME)_PINK
32,1993,FIC,BkSF:MovingMars,"same: too calm, somehow, like a young Buddha. His cheeks had pinked as if smirched with poorly applied makeup: a mild case of vacuum rose.",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"same: too calm, somehow, like a young Buddha. His cheeks had pinked as if smirched with poorly applied makeup: a mild case of vacuum rose.",unknown,BE(COME)_PINK,BE(COME)_PINK
33,1993,MAG,SatEvenPost,"airway, and as soon as we connected the tube to the ventilator she "" pinked up. "" The ventilator-replete with alarms and constantly monitored by technicians-was now her life",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"airway, and as soon as we connected the tube to the ventilator she "" pinked up. "" The ventilator-replete with alarms and constantly monitored by technicians-was now her life",unknown,BE(COME)_PINK,BE(COME)_PINK
34,1991,FIC,BkSF:SadarsKeep,"Jobber insisted. Small flames flickered in the green eyes, and her pale skin pinked. "" These are desperate people, Lirrel. They've taken up arms,",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"Jobber insisted. Small flames flickered in the green eyes, and her pale skin pinked. "" These are desperate people, Lirrel. They've taken up arms,",unknown,BE(COME)_PINK,BE(COME)_PINK
35,1991,FIC,BkSF:SadarsKeep,"? "" she asked, more sharply than she had intended. Slipper's face pinked and he ducked his head. "" It'll be all right, I tell",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"? "" she asked, more sharply than she had intended. Slipper's face pinked and he ducked his head. "" It'll be all right, I tell",unknown,BLUSH,BLUSH
36,1991,FIC,BkSF:SadarsKeep,"Yes, yes, "" he murmured, "" lovely. "" Slipper's face pinked with embarrassment as he hastily opened a bottle and handed it to Shefek. """,BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"Yes, yes, "" he murmured, "" lovely. "" Slipper's face pinked with embarrassment as he hastily opened a bottle and handed it to Shefek. """,unknown,BLUSH,BLUSH
37,1990,FIC,VirginiaQRev,"the Boy Scouts. Dads in beanies, Arabs with purple shaded eyes, cheeks pinked with rouge, faces from all the world, sharp like beaks, Huckleberry Finn",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"the Boy Scouts. Dads in beanies, Arabs with purple shaded eyes, cheeks pinked with rouge, faces from all the world, sharp like beaks, Huckleberry Finn",unknown,ADJECTIVE,ADJECTIVE
1,2016,FIC,Iowa Review,I didn't bring proper clothes or sunscreen. I never tan anyway. I pink. Then I freckle. Not those sexy freckles,BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,I didn't bring proper clothes or sunscreen. I never tan anyway. I pink. Then I freckle. Not those sexy freckles,unknown,BE(COME)_PINK,BE(COME)_PINK
2,2015,FIC,SouthernRev,"passed. A quarter hour. My stats book lay open on my bed, pink Post-its between its pages. I always used yellow. Flad I done that?",ADJECTIVE,ADJECTIVE,ADJECTIVE,"passed. A quarter hour. My stats book lay open on my bed, pink Post-its between its pages. I always used yellow. Flad I done that?",unknown,ADJECTIVE,ADJECTIVE
3,2015,TV,Cedar Cove,I got to choose the charity. I say we turn Cedar Cove pink. Pink it is. You totally freaked me out. And now you know how we,ADJECTIVE,ADJECTIVE,ADJECTIVE,I got to choose the charity. I say we turn Cedar Cove pink. Pink it is. You totally freaked me out. And now you know how we,unknown,NOUN,NOUN
4,2013,FIC,FantasySciFi,"armed with a sword generally felt himself obligated to try to skewer or at least pink me, and my invisible guardian would make sure that my blade was there to",NONE,NONE,NONE,"armed with a sword generally felt himself obligated to try to skewer or at least pink me, and my invisible guardian would make sure that my blade was there to",unknown,NONE,NONE
5,2012,FIC,Bk:KissVampire,"she fed within the last twenty-four hours. That's determined by how soft and pink her skin is. "" He reached out and lifted her upper lip. """,ADJECTIVE,ADJECTIVE,ADJECTIVE,"she fed within the last twenty-four hours. That's determined by how soft and pink her skin is. "" He reached out and lifted her upper lip. """,unknown,ADJECTIVE,ADJECTIVE
6,2012,FIC,AntiochRev,"that blended into his balding scalp. Bobby followed close behind, the sore-looking spots pink along his scalp where the Navy man's clippers must have slipped. # """,SHEAR,ADJECTIVE,SHEAR,"that blended into his balding scalp. Bobby followed close behind, the sore-looking spots pink along his scalp where the Navy man's clippers must have slipped. # """,unknown,ADJECTIVE,ADJECTIVE
7,2012,MOV,"For a Good Time, Call...","I see you in that dress. Ooh, yeah? Where else are you pink? I wan na take you to dinner when I see you in that dress",ADJECTIVE,ADJECTIVE,ADJECTIVE,"I see you in that dress. Ooh, yeah? Where else are you pink? I wan na take you to dinner when I see you in that dress",unknown,ADJECTIVE,ADJECTIVE
8,2012,WEB,...thepinkbathrooms.com,"it is. If I'm ever lucky enough to have a real one, pink it will stay! # I pledge to do anything I can to save the",ADJECTIVE,ADJECTIVE,ADJECTIVE,"it is. If I'm ever lucky enough to have a real one, pink it will stay! # I pledge to do anything I can to save the",unknown,ADJECTIVE,ADJECTIVE
9,2012,WEB,...thepinkbathrooms.com,days we are lucky we have jobs. Any ways the bathroom is a 60s pink my husband hates it I think it has charm but everything is pink and white,NOUN,NOUN,NOUN,days we are lucky we have jobs. Any ways the bathroom is a 60s pink my husband hates it I think it has charm but everything is pink and white,unknown,ADJECTIVE,ADJECTIVE
10,2012,WEB,...buckeyebattlecry.com,"n't sit on your hands and not be loud. # Color coordinate. "" Pink Out The Shoe "" is the theme this week to support breast cancer awareness.",MAKE_PINK,MAKE_PINK,MAKE_PINK,"n't sit on your hands and not be loud. # Color coordinate. "" Pink Out The Shoe "" is the theme this week to support breast cancer awareness.",unknown,ADJECTIVE,ADJECTIVE
11,2012,WEB,waldo.jaquith.org,"really good year, the lettuce hasn't quite gone bitter when the first tomatoes pink up. # Posted by Ted Strong on 5 December 2011 11am # If",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"really good year, the lettuce hasn't quite gone bitter when the first tomatoes pink up. # Posted by Ted Strong on 5 December 2011 11am # If",unknown,BE(COME)_PINK,BE(COME)_PINK
12,2012,BLOG,beatsretailer.com,"your brand nasa and also dark colored presentation: two 3.5mm, 4-ft. cables &onepink especially made for Mp3 players and something dark-colored along with mic generated for mp3-enabled cell""",NOUN,NOUN,NOUN,"your brand nasa and also dark colored presentation: two 3.5mm, 4-ft. cables &onepink especially made for Mp3 players and something dark-colored along with mic generated for mp3-enabled cell""",unknown,ADJECTIVE,ADJECTIVE
13,2009,MAG,MotherJones,epoch when babes were all tangled up in the lacy hems of white gowns. Pink itself isn't the problemit's the message it conveys. That troubling,NOUN,NOUN,NOUN,epoch when babes were all tangled up in the lacy hems of white gowns. Pink itself isn't the problemit's the message it conveys. That troubling,unknown,NOUN,NOUN
