Reference,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_redden_BNC_congreso_GENERIC,GPT_CATEGORY
Written books and periodicals,,,,"her sister could tell, and Irena, too. </s><s> They saw, couldn't help seeing, the eyes shadowed by nights of sleeplessness, reddened by tears. </s><s> bella was of the opinion that Randall had done them all an immense favour by dying when he did, but Louise",BE(COME)_RED,MAKE_RED,MAKE_RED,"her sister could tell, and Irena, too. </s><s> They saw, couldn't help seeing, the eyes shadowed by nights of sleeplessness, reddened by tears. </s><s> bella was of the opinion that Randall had done them all an immense favour by dying when he did, but Louise",unknown,EYES_RED,EYES_RED
Written books and periodicals,,,,"to breathe her last, you appear to have an awful lot to say for yourself. </s><s> I doubt very much that your wrist is even slightly reddened , let alone broken. </s><s> What did you expect of me? </s><s> Did you imagine I'd stand passively by while you used me for bayonet",ADJECTIVE,ADJECTIVE,ADJECTIVE,"to breathe her last, you appear to have an awful lot to say for yourself. </s><s> I doubt very much that your wrist is even slightly reddened , let alone broken. </s><s> What did you expect of me? </s><s> Did you imagine I'd stand passively by while you used me for bayonet",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"than a man could walk. </s><s> The timbers of the Widdershin Gate were already on fire when Rincewind, his face blistered and reddened from the flames, reached them. </s><s> By now he and Twoflower were on horseback – mounts hadn't been that hard to obtain. </s><s> A wily",BE(COME)_RED,BE(COME)_RED,BE(COME)_RED,"than a man could walk. </s><s> The timbers of the Widdershin Gate were already on fire when Rincewind, his face blistered and reddened from the flames, reached them. </s><s> By now he and Twoflower were on horseback – mounts hadn't been that hard to obtain. </s><s> A wily",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"sensuality, she tucked her woolly scarf more firmly around her neck then dragged her pom-pom hat further over her reddening ears. </s><s> He'd already left her, however, slipping into a tunnel leading right beneath a crumbling building. </s><s> Hesitantly",ADJECTIVE,ADJECTIVE,ADJECTIVE,"sensuality, she tucked her woolly scarf more firmly around her neck then dragged her pom-pom hat further over her reddening ears. </s><s> He'd already left her, however, slipping into a tunnel leading right beneath a crumbling building. </s><s> Hesitantly",unknown,BLUSH,BLUSH
Written books and periodicals,,,,", she thought wildly. </s><s> Sleek, with skin gleaming like a rich satin – </s><s> 'Ohhh!' she gasped, coming to her senses. </s><s> Reddening with a flush that heated her whole body, she grabbed her wash-bag and night things, and fled for the bathroom, locking",NOUN,BLUSH,BLUSH,", she thought wildly. </s><s> Sleek, with skin gleaming like a rich satin – </s><s> 'Ohhh!' she gasped, coming to her senses. </s><s> Reddening with a flush that heated her whole body, she grabbed her wash-bag and night things, and fled for the bathroom, locking",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"<s> after a first communion, </s><s> after a wedding. </s><s> Sugar shone on his mouth, </s><s> spilled as he thrust into the dancers, </s><s> his moist lips reddened . </s><s> Later he saw the girls in shawls, distorted </s><s> by early corpulence. </s><s> Not one of the kids below decks is his. </s><s> The steamer",BE(COME)_RED,MAKE_RED,BE(COME)_RED,"<s> after a first communion, </s><s> after a wedding. </s><s> Sugar shone on his mouth, </s><s> spilled as he thrust into the dancers, </s><s> his moist lips reddened . </s><s> Later he saw the girls in shawls, distorted </s><s> by early corpulence. </s><s> Not one of the kids below decks is his. </s><s> The steamer",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"gloomily on the bed, a chastened dog. </s><s> But Viola had reassumed all her wonted, iron-clad voluptuousness, and only her reddened eyes – had they, Greg wondered, been rubbed since she saw him coming up the path? – suggested that she might have gone",ADJECTIVE,ADJECTIVE,ADJECTIVE,"gloomily on the bed, a chastened dog. </s><s> But Viola had reassumed all her wonted, iron-clad voluptuousness, and only her reddened eyes – had they, Greg wondered, been rubbed since she saw him coming up the path? – suggested that she might have gone",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"of these films. </s><s> ISO 1000 films may be needed to collect CL images of thermally unstable quartz grains which rapidly redden under excitation. </s><s> Each worker is advised to experiment with a range of films, both colour and monochrome, and then to",BE(COME)_RED,BE(COME)_RED,BE(COME)_RED,"of these films. </s><s> ISO 1000 films may be needed to collect CL images of thermally unstable quartz grains which rapidly redden under excitation. </s><s> Each worker is advised to experiment with a range of films, both colour and monochrome, and then to",unknown,BE(COME)_RED,BE(COME)_RED
Written books and periodicals,,,,"a hood half-covering her greying wisps of hair. </s><s> Her face was lined and raddled, the toothless mouth slack, displaying reddened gums, yet her eyes were full of life. </s><s> She wiped her dripping, hooked nose, clasped her hands together and cackled. </s>",BE(COME)_RED,ADJECTIVE,ADJECTIVE,"a hood half-covering her greying wisps of hair. </s><s> Her face was lined and raddled, the toothless mouth slack, displaying reddened gums, yet her eyes were full of life. </s><s> She wiped her dripping, hooked nose, clasped her hands together and cackled. </s>",unknown,ADJECTIVE,ADJECTIVE
Written miscellaneous,,,,"<s> 'She's got a great wee figure – face like a tram smash though.' </s><s> The doctor looked up, startled, and the Inspector his face reddening , turned to the sergeant. </s><s> 'Get – him – out – of – here,' he hissed. </s><s> 'I'll see Martin home myself.' </s><s> It took Martin a long time",NOUN,BLUSH,BLUSH,"<s> 'She's got a great wee figure – face like a tram smash though.' </s><s> The doctor looked up, startled, and the Inspector his face reddening , turned to the sergeant. </s><s> 'Get – him – out – of – here,' he hissed. </s><s> 'I'll see Martin home myself.' </s><s> It took Martin a long time",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"concerns the level of contact. </s><s> This must always be controlled and if injury is caused – other than perhaps a slight reddening – a penalty rather than a score will result. </s><s> In general terms, heavier impacts may be made on the body because of the",NOUN,NOUN,NOUN,"concerns the level of contact. </s><s> This must always be controlled and if injury is caused – other than perhaps a slight reddening – a penalty rather than a score will result. </s><s> In general terms, heavier impacts may be made on the body because of the",unknown,NOUN,NOUN
Written books and periodicals,,,,"chin. </s><s> Do not confuse it with the head, for the latter can be struck harder and still score. </s><s> A face attack may cause a slight reddening but that is all. </s><s> It is often said that penalties automatically follow when blood appears following a facial attack, but",NOUN,NOUN,NOUN,"chin. </s><s> Do not confuse it with the head, for the latter can be struck harder and still score. </s><s> A face attack may cause a slight reddening but that is all. </s><s> It is often said that penalties automatically follow when blood appears following a facial attack, but",unknown,NOUN,NOUN
Written books and periodicals,,,,"Just as well to check though,' agreed Henry gravely. </s><s> 'The doctor had decanted it himself,' the policeman informed him, reddening slightly, 'before the guests arrived.' </s><s> 'You can't be too careful with a really crusty port,' said Henry. </s><s> 'Someone,'",NOUN,BLUSH,BLUSH,"Just as well to check though,' agreed Henry gravely. </s><s> 'The doctor had decanted it himself,' the policeman informed him, reddening slightly, 'before the guests arrived.' </s><s> 'You can't be too careful with a really crusty port,' said Henry. </s><s> 'Someone,'",unknown,BLUSH,BLUSH
