Reference,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_blacken_EHCB_GENERIC,GPT_CATEGORY
1692,,,,", by his calling them Paterines; for as for the name of Publicans, it was like that of Cathari, given them on purpoſe to blacken them, and is the ſame with that of Bulgarians and Paphlagonians, all relating to the Original of the Manichees who came",DEFAME,DEFAME,DEFAME,", by his calling them Paterines; for as for the name of Publicans, it was like that of Cathari, given them on purpoſe to blacken them, and is the ſame with that of Bulgarians and Paphlagonians, all relating to the Original of the Manichees who came",black,DEFAME,DEFAME
1692,,,,"the whole Hiſtory of Wicklef, and of his Diſciples, to the bottom: The Biſhop of Meaux hath done his Endeavours to blacken them, and to load them with the fouleſt Calumnies; I only ſay in ſhort, that the Biſhop did not take the pains to conſult",DEFAME,DEFAME,DEFAME,"the whole Hiſtory of Wicklef, and of his Diſciples, to the bottom: The Biſhop of Meaux hath done his Endeavours to blacken them, and to load them with the fouleſt Calumnies; I only ſay in ſhort, that the Biſhop did not take the pains to conſult",black,DEFAME,DEFAME
1692,,,,"Malice of theſe Hearts of Tygers; who under the name of Defenders of the Chriſtian Faith, have rack''d their Brains to blacken the moſt innocent Lives of the moſt religious Chriſtians; and who have made it their Diverſion to exterminate them by",CORRUPT,CORRUPT,CORRUPT,"Malice of theſe Hearts of Tygers; who under the name of Defenders of the Chriſtian Faith, have rack''d their Brains to blacken the moſt innocent Lives of the moſt religious Chriſtians; and who have made it their Diverſion to exterminate them by",black,DEFAME,DEFAME
1696,,,,"of Christ considered in it self, is a most beauteous and lovely Doctrine. </s><s> 2. </s><s> That this Doctrine has been miserably blackened , and blemished, by those that should have given it a better treatment. </s><s> 3. </s><s> That whoever professeth this Doctrine, is",DEFAME,CORRUPT,DEFAME,"of Christ considered in it self, is a most beauteous and lovely Doctrine. </s><s> 2. </s><s> That this Doctrine has been miserably blackened , and blemished, by those that should have given it a better treatment. </s><s> 3. </s><s> That whoever professeth this Doctrine, is",black,DEFAME,DEFAME
1696,,,,"the Doctrine of God our Saviour, presupposes, that however beautiful this Doctrine is in it self, it has been miserably blackened , defaced, defiled, and much dirt thrown in the Face of it: which is done various ways. </s><s> 1. </s><s> First when from the Doctrine of",DEFAME,CORRUPT,DEFAME,"the Doctrine of God our Saviour, presupposes, that however beautiful this Doctrine is in it self, it has been miserably blackened , defaced, defiled, and much dirt thrown in the Face of it: which is done various ways. </s><s> 1. </s><s> First when from the Doctrine of",black,CORRUPT,CORRUPT
1693,,,,"of Promiſes, as this pretended Saint, and Mirror of Juſtice has afforded us. </s><s> And though three preceding Kings have been blackened by a ſet of Villains and Profligates, that are a ſcandal to all the reſt of Mankind, as Neroes, Julians, and Imps of Hell,",DEFAME,DEFAME,DEFAME,"of Promiſes, as this pretended Saint, and Mirror of Juſtice has afforded us. </s><s> And though three preceding Kings have been blackened by a ſet of Villains and Profligates, that are a ſcandal to all the reſt of Mankind, as Neroes, Julians, and Imps of Hell,",black,DEFAME,DEFAME
1693,,,,"and then in seeming Charity to the Church of England deny that, because the Doctor used those Words, it is honest hence to blacken the Church of England, with this Disloyal Principle, as if she allowed her Members, though not to fight against, yet to",DEFAME,DEFAME,DEFAME,"and then in seeming Charity to the Church of England deny that, because the Doctor used those Words, it is honest hence to blacken the Church of England, with this Disloyal Principle, as if she allowed her Members, though not to fight against, yet to",black,DEFAME,DEFAME
1674,,,,"of their meetings to raise odious stories of him, which they will publish in all their neighbourhoods, and so blacken him, as if he were a Devil, though he be the most innocent person breathing. </s><s> They will propagate and improve all the",DEFAME,DEFAME,DEFAME,"of their meetings to raise odious stories of him, which they will publish in all their neighbourhoods, and so blacken him, as if he were a Devil, though he be the most innocent person breathing. </s><s> They will propagate and improve all the",black,DEFAME,DEFAME
1679,,,,"accused Anthony of any thing while he was present, but would now value himself upon this opportunity of his absence to blacken him with a multitude of Crimes, I present my self to make appear the falsity of his Accusations; which I hope to do in few",DEFAME,DEFAME,DEFAME,"accused Anthony of any thing while he was present, but would now value himself upon this opportunity of his absence to blacken him with a multitude of Crimes, I present my self to make appear the falsity of his Accusations; which I hope to do in few",black,DEFAME,DEFAME
1695,,,,"less occasion they have for their Malice, the less trouble it will give us; and while their Endeavours are employed to blacken and expose us, let ours be as busie to defeat and disappoint them. </s><s> Thus we shall tire their Spight, put their Ignorance to",DEFAME,DEFAME,DEFAME,"less occasion they have for their Malice, the less trouble it will give us; and while their Endeavours are employed to blacken and expose us, let ours be as busie to defeat and disappoint them. </s><s> Thus we shall tire their Spight, put their Ignorance to",black,DEFAME,DEFAME
1687,,,,"Lutheri, quae in Bernardi Augustinique libris, ut Orthodoxa, imo ut pia leguntur Erasmus is perversly brought in to blacken Ls. reputation: what he says of him would not disparage the best of Saints: for it amounts to no more then this, that he had",DEFAME,DEFAME,DEFAME,"Lutheri, quae in Bernardi Augustinique libris, ut Orthodoxa, imo ut pia leguntur Erasmus is perversly brought in to blacken Ls. reputation: what he says of him would not disparage the best of Saints: for it amounts to no more then this, that he had",black,DEFAME,DEFAME
1700,,,,", a Place that has not been thought apt to instill into its Members a Disesteem of their Holy Mother, or a love of blackening and betraying their Brethren. </s><s> Methinks Men, who talk so much of Moderation and Temper, would do well to shew it, in",DEFAME,DEFAME,DEFAME,", a Place that has not been thought apt to instill into its Members a Disesteem of their Holy Mother, or a love of blackening and betraying their Brethren. </s><s> Methinks Men, who talk so much of Moderation and Temper, would do well to shew it, in",black,DEFAME,DEFAME
1694,,,,"according to my Skill, &c. </s><s> It is very obvious, that when he is upon doing real Service to his Friends, he may be allowed to blacken the Swearers with mental Reſervations, and to carry the meaning of this preſent Oath further than they will allow it to",DEFAME,CORRUPT,CORRUPT,"according to my Skill, &c. </s><s> It is very obvious, that when he is upon doing real Service to his Friends, he may be allowed to blacken the Swearers with mental Reſervations, and to carry the meaning of this preſent Oath further than they will allow it to",black,DEFAME,DEFAME
1693,,,,"would never have granted it: These are the very Words of the Prince. </s><s> That it was as strange as insupportable, that a Man blacken ''d with Adultery, Poisoning, Incest, and Parricide, should make a Crime of a Marriage approved of by Monsieur de",DEFAME,DEFAME,DEFAME,"would never have granted it: These are the very Words of the Prince. </s><s> That it was as strange as insupportable, that a Man blacken ''d with Adultery, Poisoning, Incest, and Parricide, should make a Crime of a Marriage approved of by Monsieur de",black,DEFAME,DEFAME
1693,,,,"abandon the States; he says the Spanish Folly and Impertinence cannot be sufficiently admired, who endeavouring to blacken and defame him, raise his Reputation, by owning that he preferrs the Safety of the States, and their Liberty, to his own",DEFAME,DEFAME,DEFAME,"abandon the States; he says the Spanish Folly and Impertinence cannot be sufficiently admired, who endeavouring to blacken and defame him, raise his Reputation, by owning that he preferrs the Safety of the States, and their Liberty, to his own",black,DEFAME,DEFAME
1686,,,,"the other Colours with which it is mingled, I believe that Piece would have been fresh and fine to this day; but that has so blackened it, that it seems as it were Tinto. </s><s> I have made this Discourse at the end of Raphael''s Life, to show how much Care, Study,",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"the other Colours with which it is mingled, I believe that Piece would have been fresh and fine to this day; but that has so blackened it, that it seems as it were Tinto. </s><s> I have made this Discourse at the end of Raphael''s Life, to show how much Care, Study,",black,MAKE_BLACK,MAKE_BLACK
1697,,,,"moſt Sacred MAJESTY. </s><s> Now, as Life, and an honeſt Reputation, are to me of an equal Value, and one Sir Richard Blackam hath blackened and whiſpered away my Reputation on the Grounds of a Cauſeleſs Statute of Bankrupt, maliciouſly taken out againſt me by",DEFAME,DEFAME,DEFAME,"moſt Sacred MAJESTY. </s><s> Now, as Life, and an honeſt Reputation, are to me of an equal Value, and one Sir Richard Blackam hath blackened and whiſpered away my Reputation on the Grounds of a Cauſeleſs Statute of Bankrupt, maliciouſly taken out againſt me by",black,DEFAME,DEFAME
1697,,,,of any one particular Error; and not knowing but theſe may be part of the things with which Sir Richard Blackam hath blackened my Reputation I have for that Reaſon ſet them forth. </s><s> Alſo to make manifeſt the cruel Conſequences of Mr. Moyer''s,DEFAME,DEFAME,DEFAME,of any one particular Error; and not knowing but theſe may be part of the things with which Sir Richard Blackam hath blackened my Reputation I have for that Reaſon ſet them forth. </s><s> Alſo to make manifeſt the cruel Conſequences of Mr. Moyer''s,black,DEFAME,DEFAME
1683,,,,"odious Imputation of Schiſm from themſelves, always indeavour to prove the cauſe to be in the Church: To which end they blacken , and beſpatter her all they can, as guilty of Willworſhip, Superſtition, Idolatry, Lukewarmneſs, or any other vile",DEFAME,DEFAME,DEFAME,"odious Imputation of Schiſm from themſelves, always indeavour to prove the cauſe to be in the Church: To which end they blacken , and beſpatter her all they can, as guilty of Willworſhip, Superſtition, Idolatry, Lukewarmneſs, or any other vile",black,DEFAME,DEFAME
1697,,,,"ſuch Arbitrary Arts, Tricks, and Devices to acquit and Juſtifie the worſt of Villains that have come before them, and to blacken the Reputations of Honeſt Men, that certainly the like has not been known, for an Inſtance of which I refer you to the",DEFAME,DEFAME,DEFAME,"ſuch Arbitrary Arts, Tricks, and Devices to acquit and Juſtifie the worſt of Villains that have come before them, and to blacken the Reputations of Honeſt Men, that certainly the like has not been known, for an Inſtance of which I refer you to the",black,DEFAME,DEFAME
1695,,,,", That they turn''d me out of their Office for Miſdemeanour, hoping by the help of that monſtrous untruth to have blacken ''d my Reputation, and extenuated their own miſcarriages. </s><s> French Popiſh Merchant, that formerly liv''d in London, but",DEFAME,DEFAME,DEFAME,", That they turn''d me out of their Office for Miſdemeanour, hoping by the help of that monſtrous untruth to have blacken ''d my Reputation, and extenuated their own miſcarriages. </s><s> French Popiſh Merchant, that formerly liv''d in London, but",black,DEFAME,DEFAME
1695,,,,"for Accounts, in order to ſtop the Mouths of the Commiſſioners for Sick and Wounded, or any of their Party, from blackening him in his Reputation, as they have done by me and all others who have oppoſed their Evil Practices. </s><s> To the Honourable,",DEFAME,DEFAME,DEFAME,"for Accounts, in order to ſtop the Mouths of the Commiſſioners for Sick and Wounded, or any of their Party, from blackening him in his Reputation, as they have done by me and all others who have oppoſed their Evil Practices. </s><s> To the Honourable,",black,DEFAME,DEFAME
1695,,,,"money upon the Subject; which ſhews how ready ſome perſons are to lay hold on all little Opportunities to defame and blacken the Reputations of thoſe that endeavour to detect publick Frauds. </s><s> April 11th, Thurſday, had another Hearing, when the",DEFAME,DEFAME,DEFAME,"money upon the Subject; which ſhews how ready ſome perſons are to lay hold on all little Opportunities to defame and blacken the Reputations of thoſe that endeavour to detect publick Frauds. </s><s> April 11th, Thurſday, had another Hearing, when the",black,DEFAME,DEFAME
1685,,,,"damn him to the flames of Hell, as they are wont to canonize all their own for Saints. </s><s> They make it their buſineſs alſo to blacken his Memory amongſt men;Paul''s Church, and another that was placed amongſt the Statues of his Predeceſſors in the Royal",DEFAME,DEFAME,DEFAME,"damn him to the flames of Hell, as they are wont to canonize all their own for Saints. </s><s> They make it their buſineſs alſo to blacken his Memory amongſt men;Paul''s Church, and another that was placed amongſt the Statues of his Predeceſſors in the Royal",black,DEFAME,DEFAME
1695,,,,"wou''d ſtrike for his deliverance </s><s> That himſelf has not chain''d the hand ſhould draw it? </s><s> Has not his own accuſing Tongue ſo blacken ''d him, </s><s> Painted her Murder with a face ſo monſtrous, </s><s> As lulls his ſleeping Friends into a Lethargy; </s><s> Till ſcarce their",DEFAME,DEFAME,DEFAME,"wou''d ſtrike for his deliverance </s><s> That himſelf has not chain''d the hand ſhould draw it? </s><s> Has not his own accuſing Tongue ſo blacken ''d him, </s><s> Painted her Murder with a face ſo monſtrous, </s><s> As lulls his ſleeping Friends into a Lethargy; </s><s> Till ſcarce their",black,DEFAME,DEFAME
1684,,,,"''d his great Soul, and Hermione pleaded within for Life at any Price, even that of all his Glory; the thought of her alone blacken ''d this last Scene of his Life, and for which all his past Triumphs could never atone nor excuse. </s><s> Thus taken, he suffered",DEFAME,DEFAME,DEFAME,"''d his great Soul, and Hermione pleaded within for Life at any Price, even that of all his Glory; the thought of her alone blacken ''d this last Scene of his Life, and for which all his past Triumphs could never atone nor excuse. </s><s> Thus taken, he suffered",black,CORRUPT,CORRUPT
1694,,,,"others who writ to him, or viſited him, was condemned to the flames, as if he had been a common perſon. </s><s> They endeavour''d to blacken him, by accuſing him as a Complice in the aſſaſſination of the Preſident de St. Andre, who had been one of the",DEFAME,DEFAME,DEFAME,"others who writ to him, or viſited him, was condemned to the flames, as if he had been a common perſon. </s><s> They endeavour''d to blacken him, by accuſing him as a Complice in the aſſaſſination of the Preſident de St. Andre, who had been one of the",black,DEFAME,DEFAME
1694,,,,"them, to prevent a Conſpiracy againſt his own Perſon; ſo that after he had treacherouſly ſpilt their blood, he would blacken their memory. </s><s> You muſt not be aſtoniſhed, if there be found ſome to apologize for this cowardly Cruelty, ſince there was",DEFAME,DEFAME,DEFAME,"them, to prevent a Conſpiracy againſt his own Perſon; ſo that after he had treacherouſly ſpilt their blood, he would blacken their memory. </s><s> You muſt not be aſtoniſhed, if there be found ſome to apologize for this cowardly Cruelty, ſince there was",black,DEFAME,DEFAME
1694,,,,", who ought to look upon themſelves as Conſervators of the Liberty and Welfare of their Subjects; but they have blacken ''d the Great Henry with the Reproach of Ingratitude, which he adjudged unworthy of himſelf; by depriving an Obedient",DEFAME,DEFAME,DEFAME,", who ought to look upon themſelves as Conſervators of the Liberty and Welfare of their Subjects; but they have blacken ''d the Great Henry with the Reproach of Ingratitude, which he adjudged unworthy of himſelf; by depriving an Obedient",black,DEFAME,DEFAME
1694,,,,"the Synod infer▪d that the ſaid Aſſemblies w neither Criminal nor Clandeſtine. </s><s> They complain''d th the Reform''d were blacken ''d by that Tacit reproach: T it revivd former hatreds, making them odious both home and abroad by thoſe oblique",DEFAME,MAKE_BLACK,DEFAME,"the Synod infer▪d that the ſaid Aſſemblies w neither Criminal nor Clandeſtine. </s><s> They complain''d th the Reform''d were blacken ''d by that Tacit reproach: T it revivd former hatreds, making them odious both home and abroad by thoſe oblique",black,DEFAME,DEFAME
1694,,,,"but Illuſions; and that was evident enough, becauſe they never moleſted any of thoſe perſons that Amelot ſought to blacken with his pretended Informations. </s><s> But to bring himſelf off like a perſon of credit, after it appear''d that all his",DEFAME,DEFAME,DEFAME,"but Illuſions; and that was evident enough, becauſe they never moleſted any of thoſe perſons that Amelot ſought to blacken with his pretended Informations. </s><s> But to bring himſelf off like a perſon of credit, after it appear''d that all his",black,DEFAME,DEFAME
1689,,,,"influence on the Court of Aldermen he attributed his diſmiſſion from the Recorderſhip, and uſed his Endeavours to blacken them as much as he could: Yet all his Honour was not ſunk, for he had prevailed for the Removal of Sir Job Charleton from the",DEFAME,DEFAME,DEFAME,"influence on the Court of Aldermen he attributed his diſmiſſion from the Recorderſhip, and uſed his Endeavours to blacken them as much as he could: Yet all his Honour was not ſunk, for he had prevailed for the Removal of Sir Job Charleton from the",black,DEFAME,DEFAME
1692,,,,", you dismiss it thus, pag. 17. </s><s> And so much by way of Answer so that part of your Book, by which you have endeavoured to blacken the good King''s Reign, and to run down the Reputation of Bishop Laud; and to express your Indignation against me, for",DEFAME,DEFAME,DEFAME,", you dismiss it thus, pag. 17. </s><s> And so much by way of Answer so that part of your Book, by which you have endeavoured to blacken the good King''s Reign, and to run down the Reputation of Bishop Laud; and to express your Indignation against me, for",black,DEFAME,DEFAME
1689,,,,"to write all things with the greateſt plauſibleneſs and ſhew of Reaſon and Juſtice on their own ſide, and will be ſure to blacken and villifie the Papiſts as much as they are able, although they have never ſo little reaſon ſo to do. </s><s> I ſhall, to back what",DEFAME,DEFAME,DEFAME,"to write all things with the greateſt plauſibleneſs and ſhew of Reaſon and Juſtice on their own ſide, and will be ſure to blacken and villifie the Papiſts as much as they are able, although they have never ſo little reaſon ſo to do. </s><s> I ſhall, to back what",black,DEFAME,DEFAME
1669,,,,"come a very wet ſeaſon, you muſt take care of weeding it alſo, that it grow not till it be over-ripe, leſt the ſtalk ſhould blacken or mildew; yet to its full ripeneſs you muſt let it grow, the which you may perceive, both by the hurle, and by the ſeed. </s>",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"come a very wet ſeaſon, you muſt take care of weeding it alſo, that it grow not till it be over-ripe, leſt the ſtalk ſhould blacken or mildew; yet to its full ripeneſs you muſt let it grow, the which you may perceive, both by the hurle, and by the ſeed. </s>",black,BE(COME)_BLACK,BE(COME)_BLACK
1672,,,,"for his fidelity to his Soveraign; And when his memory ſhould deſervedly live with honour it is moſt injuriouſly blacken ''d with this cloud of infamy. </s><s> LXVIII </s><s> Among men of Note in King Charles the firſts time, As ſome are deſervedly nominated,",DEFAME,DEFAME,DEFAME,"for his fidelity to his Soveraign; And when his memory ſhould deſervedly live with honour it is moſt injuriouſly blacken ''d with this cloud of infamy. </s><s> LXVIII </s><s> Among men of Note in King Charles the firſts time, As ſome are deſervedly nominated,",black,DEFAME,DEFAME
1693,,,,"other States in other Circumstances, as much as it tended now to their Preservation. </s><s> Many have endeavoured to blacken this Act of the Queen''s, and others to defend and excuse it; but for my part, I think the Character God gave of King David,",DEFAME,DEFAME,DEFAME,"other States in other Circumstances, as much as it tended now to their Preservation. </s><s> Many have endeavoured to blacken this Act of the Queen''s, and others to defend and excuse it; but for my part, I think the Character God gave of King David,",black,DEFAME,DEFAME
1693,,,,the Protestants. </s><s> These Treatments induced the Queen to be very severe against all Libels and Verses penned to the end to blacken the Reputation of any man; which she forbad any to read or divulge; and she ordered them to be burnt: And she extended this,DEFAME,DEFAME,DEFAME,the Protestants. </s><s> These Treatments induced the Queen to be very severe against all Libels and Verses penned to the end to blacken the Reputation of any man; which she forbad any to read or divulge; and she ordered them to be burnt: And she extended this,black,DEFAME,DEFAME
1689,,,,", and the Eccleſiaſtical Commiſſion. </s><s> And which was the height of folly, the ſame Pen which had been hired to defame and blacken the Church of England (the Author of the Publick Occurrences truly ſtated) was ordered to magnifie its Loyalty. </s><s> By",DEFAME,DEFAME,DEFAME,", and the Eccleſiaſtical Commiſſion. </s><s> And which was the height of folly, the ſame Pen which had been hired to defame and blacken the Church of England (the Author of the Publick Occurrences truly ſtated) was ordered to magnifie its Loyalty. </s><s> By",black,DEFAME,DEFAME
