Reference,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_white_EHCB_GENERIC,GPT_CATEGORY
1629,,,,", who it is that makes this criminall Accusation; then, against whom it is made: painted, but rotten Sepulchres, whited , but stinking Dunghills; against him that was blamelesse in his life, and in his Doctrine diuine and heauenly. </s><s> The",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,", who it is that makes this criminall Accusation; then, against whom it is made: painted, but rotten Sepulchres, whited , but stinking Dunghills; against him that was blamelesse in his life, and in his Doctrine diuine and heauenly. </s><s> The",white,CONCEAL,CONCEAL
1629,,,,", take your places quickly. </s><s> Nay, nay, leaue ceremony: sound to the entrance. </s><s> Florish. </s><s> Enter Rhetias, his face whited , blacke shag haire, long nailes, a piece of raw meate. </s><s> Rhet. </s><s> Bow, Bow, wow, wow; the Moone''s eclipsed, Ile to the",ADJECTIVE,BE(COME)_WHITE,ADJECTIVE,", take your places quickly. </s><s> Nay, nay, leaue ceremony: sound to the entrance. </s><s> Florish. </s><s> Enter Rhetias, his face whited , blacke shag haire, long nailes, a piece of raw meate. </s><s> Rhet. </s><s> Bow, Bow, wow, wow; the Moone''s eclipsed, Ile to the",white,MAKE_WHITE,MAKE_WHITE
1615,,,,"beholding that inestimable Iewell, which as farre excelled all the rest of the Ladies as the Sunne doth the Moone, or white his contrary: who with such comely modesty behaued her self, that her looke did rightly resemble a countenance ful of",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"beholding that inestimable Iewell, which as farre excelled all the rest of the Ladies as the Sunne doth the Moone, or white his contrary: who with such comely modesty behaued her self, that her looke did rightly resemble a countenance ful of",white,ADJECTIVE,ADJECTIVE
1583,,,,"the world, were asked, how he would turne these wordes into Hebrue, Similes estis sepulchris dealbatis: you are like to whited graues: And, Sepulchrum eius apud vos est: His graue is among you: would any Hebrue I say translate it by this Hebrue",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"the world, were asked, how he would turne these wordes into Hebrue, Similes estis sepulchris dealbatis: you are like to whited graues: And, Sepulchrum eius apud vos est: His graue is among you: would any Hebrue I say translate it by this Hebrue",white,CONCEAL,CONCEAL
1581,,,,"presence of ye throne of god. </s><s> Brist. saith, this word therefore, is referred to their comming out of affliction, and so whited their stoles: And yet this gloser (saith he of me) taketh it away from the affliction, whereas that whiting was nothing",BLEACH,MAKE_WHITE,MAKE_WHITE,"presence of ye throne of god. </s><s> Brist. saith, this word therefore, is referred to their comming out of affliction, and so whited their stoles: And yet this gloser (saith he of me) taketh it away from the affliction, whereas that whiting was nothing",white,MAKE_PURE,MAKE_PURE
1638,,,,"Ayre drawne in for breath, doth choake as soone as stopping of the Breath. </s><s> As by burning charcoale, or by the smell of new whited walles in a close chamber Iustinian and others have beene choaked. </s><s> Fausta, the wife of Constantine the great, was",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"Ayre drawne in for breath, doth choake as soone as stopping of the Breath. </s><s> As by burning charcoale, or by the smell of new whited walles in a close chamber Iustinian and others have beene choaked. </s><s> Fausta, the wife of Constantine the great, was",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1633,,,,"seed hauing a fine white plume like a feather fastned to it, which maketh in the winter a goodly shew, couering the hedges white all ouer with his feather-like tops. </s><s> The root is long, tough, and thicke, with many strings fastned thereto. </s><s> 2 Clusius",ADJECTIVE,ADJECTIVE,ADJECTIVE,"seed hauing a fine white plume like a feather fastned to it, which maketh in the winter a goodly shew, couering the hedges white all ouer with his feather-like tops. </s><s> The root is long, tough, and thicke, with many strings fastned thereto. </s><s> 2 Clusius",white,ADJECTIVE,ADJECTIVE
1640,,,,"<s> Be wash''d away, but the red guilt of blood </s><s> Sticks as a blacke infection to the soule, </s><s> That like an Aethiop cannot be wash''d white , </s><s> A shout within. </s><s> Enter Corimba and Frangipan. </s><s> Thinke upon this, and know I must with griefe </s><s> pronounce your fatall",ADJECTIVE,ADJECTIVE,ADJECTIVE,"<s> Be wash''d away, but the red guilt of blood </s><s> Sticks as a blacke infection to the soule, </s><s> That like an Aethiop cannot be wash''d white , </s><s> A shout within. </s><s> Enter Corimba and Frangipan. </s><s> Thinke upon this, and know I must with griefe </s><s> pronounce your fatall",white,ADJECTIVE,ADJECTIVE
1630,,,,"of high Treaſon. </s><s> BECH was hanged at Colcheſter, and FARINGDON with two Prieſts named RVG and OGNION at Reding. </s><s> WHITING a man very aged, and by reaſon therof doting, ſcarce perceiving that he had beene condemned, returning from the place of",NOUN,NOUN,NOUN,"of high Treaſon. </s><s> BECH was hanged at Colcheſter, and FARINGDON with two Prieſts named RVG and OGNION at Reding. </s><s> WHITING a man very aged, and by reaſon therof doting, ſcarce perceiving that he had beene condemned, returning from the place of",white,NOUN,NOUN
1588,,,,"which gates they do shut and open by order and licence of their captaines, which is sent vnto them euery day, written in whited tables, and their fine vnto it. </s><s> These gates are the force of all the cittie, and thereon is planted all the artilerie they",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"which gates they do shut and open by order and licence of their captaines, which is sent vnto them euery day, written in whited tables, and their fine vnto it. </s><s> These gates are the force of all the cittie, and thereon is planted all the artilerie they",white,ADJECTIVE,ADJECTIVE
1588,,,,"they shall not procure to goe about their cities, neither to see the secrets thereof. </s><s> And this is giuen in writing vpon a whited table, which is set vpon the fore partes of their ships, that when they come to an anker in any port it may be séene of the",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"they shall not procure to goe about their cities, neither to see the secrets thereof. </s><s> And this is giuen in writing vpon a whited table, which is set vpon the fore partes of their ships, that when they come to an anker in any port it may be séene of the",white,ADJECTIVE,ADJECTIVE
1588,,,,"him and his seruants, and in what townes, and howe hee shall be lodged. </s><s> His safe conduct is brought him, written vppon a whited table (after the fashion as we haue tolde you heere before in manie places) and is with great l tters, wherein is",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"him and his seruants, and in what townes, and howe hee shall be lodged. </s><s> His safe conduct is brought him, written vppon a whited table (after the fashion as we haue tolde you heere before in manie places) and is with great l tters, wherein is",white,ADJECTIVE,ADJECTIVE
1588,,,,"it the waiters or guardes of the water side, will not suffer them to put foote a land. </s><s> This licence was written vpon a borde whited , and firmed by the Iustice, whose charge it is to giue the licence. </s><s> Then when they came a shoore, there were the souldiers",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"it the waiters or guardes of the water side, will not suffer them to put foote a land. </s><s> This licence was written vpon a borde whited , and firmed by the Iustice, whose charge it is to giue the licence. </s><s> Then when they came a shoore, there were the souldiers",white,ADJECTIVE,ADJECTIVE
1588,,,,"vnto him the religious men, and all the rest that came in their company: before them all came one that carried a table all whited , and thereon was written certaine great letters with blacke ynke, the which (as after they vnderstood) was the licence",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"vnto him the religious men, and all the rest that came in their company: before them all came one that carried a table all whited , and thereon was written certaine great letters with blacke ynke, the which (as after they vnderstood) was the licence",white,ADJECTIVE,ADJECTIVE
1637,,,,"buſineſſes on the Sabbath day, and pleads conſcience, wilt thou ſmite him and whip him? </s><s> God will ſmite thee, thou whited wall. </s><s> How dareſt thou ſmite him, and ſo cauſe him to doe that for which God will whip him worſer? </s><s> Shew mercy to thoſe under",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"buſineſſes on the Sabbath day, and pleads conſcience, wilt thou ſmite him and whip him? </s><s> God will ſmite thee, thou whited wall. </s><s> How dareſt thou ſmite him, and ſo cauſe him to doe that for which God will whip him worſer? </s><s> Shew mercy to thoſe under",white,CONCEAL,CONCEAL
1606,,,,"loue tro? lett me looke as redde as scarlet a fore I see thee, and when thou comst in sight if the sunne of thy bewtie, doe not white me like a sheppards hollandl am a Iewe to my Creator. </s><s> Hip. </s><s> O excellent. </s><s> Rud. </s><s> Let mee burst like a Tode, if a frowne of thy",BLEACH,MAKE_WHITE,MAKE_WHITE,"loue tro? lett me looke as redde as scarlet a fore I see thee, and when thou comst in sight if the sunne of thy bewtie, doe not white me like a sheppards hollandl am a Iewe to my Creator. </s><s> Hip. </s><s> O excellent. </s><s> Rud. </s><s> Let mee burst like a Tode, if a frowne of thy",white,ADJECTIVE,ADJECTIVE
1619,,,,", sayth Christ, beare witnesse of the euill: but if well, why smitest thou me? </s><s> So Paul to Ananias God will smite thee thou whited wall: for Sittest thou to Iudge me after the Law, and commandest me to be smitten contrary to the Law? </s><s> So Abraham pleads to",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,", sayth Christ, beare witnesse of the euill: but if well, why smitest thou me? </s><s> So Paul to Ananias God will smite thee thou whited wall: for Sittest thou to Iudge me after the Law, and commandest me to be smitten contrary to the Law? </s><s> So Abraham pleads to",white,CONCEAL,CONCEAL
1630,,,,"Phariſes, whoſe whole practiſe was to bee ſeene of men, not to approue themſelues to God: and ſo Chriſt compares them to whited tombes. </s><s> For there is a contrariety be weene Gods will and mans will, and what pleaſeth man pleaſeth not him: and ſo if we",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"Phariſes, whoſe whole practiſe was to bee ſeene of men, not to approue themſelues to God: and ſo Chriſt compares them to whited tombes. </s><s> For there is a contrariety be weene Gods will and mans will, and what pleaſeth man pleaſeth not him: and ſo if we",white,CONCEAL,CONCEAL
1632,,,,"pare ts for to pro e your birth. </s><s> She ſhowes there a mole, the Queene runs and embraceth her. </s><s> Hydaſp. </s><s> You ſtrive to wiſh me white an Aethiopian </s><s> In hin ering this ſacrifice, you ſhall </s><s> Doe one aſwell as tother, for although </s><s> I now believe ſhe is my",ADJECTIVE,ADJECTIVE,ADJECTIVE,"pare ts for to pro e your birth. </s><s> She ſhowes there a mole, the Queene runs and embraceth her. </s><s> Hydaſp. </s><s> You ſtrive to wiſh me white an Aethiopian </s><s> In hin ering this ſacrifice, you ſhall </s><s> Doe one aſwell as tother, for although </s><s> I now believe ſhe is my",white,ADJECTIVE,ADJECTIVE
1640,,,,"parents for to prove your birth. </s><s> She ſhowes there a mole, the Queene runs and embraceth her. </s><s> Hydaſp. </s><s> You ſtrive to waſh me white an Aethiopian </s><s> In hin ering this ſacrifice, you ſhall </s><s> Doe one aſwell as tother, for although </s><s> I now believe ſhe is my",REPEATED,REPEATED,REPEATED,"parents for to prove your birth. </s><s> She ſhowes there a mole, the Queene runs and embraceth her. </s><s> Hydaſp. </s><s> You ſtrive to waſh me white an Aethiopian </s><s> In hin ering this ſacrifice, you ſhall </s><s> Doe one aſwell as tother, for although </s><s> I now believe ſhe is my",white,ADJECTIVE,ADJECTIVE
1577,,,,"a farre To be a radyant Starre Hyr butned, ruby chinne, hir face, and eke hir necke did shine, As though they were with Iu ry white all burnisht maruelous fine. </s><s> Hir prety nose is somewhat shorte, it well becōmes hyr face, Hir fryseled heare in",ADJECTIVE,ADJECTIVE,ADJECTIVE,"a farre To be a radyant Starre Hyr butned, ruby chinne, hir face, and eke hir necke did shine, As though they were with Iu ry white all burnisht maruelous fine. </s><s> Hir prety nose is somewhat shorte, it well becōmes hyr face, Hir fryseled heare in",white,ADJECTIVE,ADJECTIVE
1577,,,,"perewigs, with hartes fro thence that hāgs, </s><s> With veluet cappes, and plumes, they doe adorne their heddes, </s><s> With red & white they painte their face, to tice thē to there beddes. </s><s> There partlets set with spangs, come close vnto their chinne, </s>",NOUN,NOUN,NOUN,"perewigs, with hartes fro thence that hāgs, </s><s> With veluet cappes, and plumes, they doe adorne their heddes, </s><s> With red & white they painte their face, to tice thē to there beddes. </s><s> There partlets set with spangs, come close vnto their chinne, </s>",white,ADJECTIVE,ADJECTIVE
1621,,,,"and a Dragon, to whom the wicked hypocrites attribute title of Lord God the Pope. </s><s> S. Paul likened the High prieſt to a whited wall; and Dauid the wicked Princes to dogs and bulls▪ but all theſe had the ſpirit of propheſie and diſcerning. </s><s> But the",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"and a Dragon, to whom the wicked hypocrites attribute title of Lord God the Pope. </s><s> S. Paul likened the High prieſt to a whited wall; and Dauid the wicked Princes to dogs and bulls▪ but all theſe had the ſpirit of propheſie and diſcerning. </s><s> But the",white,CONCEAL,CONCEAL
1591,,,,"the meale man to wipe it out of his necke, and stoopte downe his head, the meale man laughing to sée him so rayed and whited , was willing to shake off the meale, and the whilst, while hee was busie about that, the Nippe had stroken the purse and",ADJECTIVE,MAKE_WHITE,ADJECTIVE,"the meale man to wipe it out of his necke, and stoopte downe his head, the meale man laughing to sée him so rayed and whited , was willing to shake off the meale, and the whilst, while hee was busie about that, the Nippe had stroken the purse and",white,ADJECTIVE,ADJECTIVE
1638,,,,joy: and where the Embleme of whitenesse is once had; the Motto of joy and gladnesse will not long be behind. </s><s> But we must be whited first; for while the blacknesse of sinne remaines in the soule; there can be no Embleme of whitenesse engraven upon it:,MAKE_PURE,MAKE_PURE,MAKE_PURE,joy: and where the Embleme of whitenesse is once had; the Motto of joy and gladnesse will not long be behind. </s><s> But we must be whited first; for while the blacknesse of sinne remaines in the soule; there can be no Embleme of whitenesse engraven upon it:,white,MAKE_PURE,MAKE_PURE
1638,,,,"the blacknesse of sinne remaines in the soule; there can be no Embleme of whitenesse engraven upon it: but if once we be whited by Gods washing; and have the Embleme upon us; this Motto, wee may be sure, will be added to the Embleme; Hee will make us",MAKE_PURE,MAKE_PURE,MAKE_PURE,"the blacknesse of sinne remaines in the soule; there can be no Embleme of whitenesse engraven upon it: but if once we be whited by Gods washing; and have the Embleme upon us; this Motto, wee may be sure, will be added to the Embleme; Hee will make us",white,MAKE_PURE,MAKE_PURE
1596,,,,"that his ſweat, </s><s> Then had they rather runne and the lother to lete. </s><s> And another cauſe when the Hart no more may, </s><s> Then will he white froth caſt where he goeth away: </s><s> And when the Hounds find of that then they are glad, </s><s> In hope they ſhall haue him, and run as",ADJECTIVE,ADJECTIVE,ADJECTIVE,"that his ſweat, </s><s> Then had they rather runne and the lother to lete. </s><s> And another cauſe when the Hart no more may, </s><s> Then will he white froth caſt where he goeth away: </s><s> And when the Hounds find of that then they are glad, </s><s> In hope they ſhall haue him, and run as",white,ADJECTIVE,ADJECTIVE
1619,,,,"? that neuer layeth them abroad a ſunning, to beate out the duſt of them, nor neuer layeth them in water, to waſh & white them, be they neuer ſo foule. </s><s> And albeit the beds and other implements lent to the Courtier, bee not of any great value,",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"? that neuer layeth them abroad a ſunning, to beate out the duſt of them, nor neuer layeth them in water, to waſh & white them, be they neuer ſo foule. </s><s> And albeit the beds and other implements lent to the Courtier, bee not of any great value,",white,MAKE_WHITE,MAKE_WHITE
1615,,,,"most deceiue our sight; as of Wolues masked vnder Sheepe skinnes, of tombes, or monuments, which on the outside are whited over, and sometimes set out with curious works, in mettals and carved stones, of diverse colours, but within are ful of",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"most deceiue our sight; as of Wolues masked vnder Sheepe skinnes, of tombes, or monuments, which on the outside are whited over, and sometimes set out with curious works, in mettals and carved stones, of diverse colours, but within are ful of",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1599,,,,", wherein diuers handsome buildings and houses were set vp, and especially one which was a Church, which was tyled & whited on the outside very faire, and made with a porch, and within the Church at the vpper end was set an altar, whereon stood a",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,", wherein diuers handsome buildings and houses were set vp, and especially one which was a Church, which was tyled & whited on the outside very faire, and made with a porch, and within the Church at the vpper end was set an altar, whereon stood a",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1608,,,,"thy ſelfe if thou think thoſe ſhewes that blear''d the eies of the world, can deceiue him. </s><s> God ſhal ſmite thee thou whited wall, God ſhall ſmite thee. </s><s> Doeſt thou thinke hee ſees not how ſmoothly thou haſt daubed on thine whoriſh complexion? </s>",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"thy ſelfe if thou think thoſe ſhewes that blear''d the eies of the world, can deceiue him. </s><s> God ſhal ſmite thee thou whited wall, God ſhall ſmite thee. </s><s> Doeſt thou thinke hee ſees not how ſmoothly thou haſt daubed on thine whoriſh complexion? </s>",white,CONCEAL,CONCEAL
1604,,,,"my will, aetheriall dietie. </s><s> Elizabeth, </s><s> Combinde with thee, oh cheerfull cordiall knot: </s><s> No priuate quarell could white Albion fame: </s><s> VVith blood and rapine fierce diſſention blot, </s><s> Fury it ſelfe, within it ſelf did rot. </s><s> Two parted Roſes",CONCEAL,BLEACH,CONCEAL,"my will, aetheriall dietie. </s><s> Elizabeth, </s><s> Combinde with thee, oh cheerfull cordiall knot: </s><s> No priuate quarell could white Albion fame: </s><s> VVith blood and rapine fierce diſſention blot, </s><s> Fury it ſelfe, within it ſelf did rot. </s><s> Two parted Roſes",white,ADJECTIVE,ADJECTIVE
1634,,,,"<s> The church may ſubſiſt, yea, flouriſh without friars, but not without prieſts, as for many ages it hath done. </s><s> For be they white , black, or gray, they are of a latter inſtitute then the prieſts, theſe being the ſucceſſors of the Apoſtles, & the 42.",ADJECTIVE,ADJECTIVE,ADJECTIVE,"<s> The church may ſubſiſt, yea, flouriſh without friars, but not without prieſts, as for many ages it hath done. </s><s> For be they white , black, or gray, they are of a latter inſtitute then the prieſts, theſe being the ſucceſſors of the Apoſtles, & the 42.",white,ADJECTIVE,ADJECTIVE
1633,,,,"the ſame.Iovinian the Emperour travelling towards Rome in the Winter-ſeaſon, by the way was lodged in a roome newly whited with lime, in the which, to aire the roome, was made a great fire of char-coale, and the next morning this Emperour was",BLEACH,BLEACH,BLEACH,"the ſame.Iovinian the Emperour travelling towards Rome in the Winter-ſeaſon, by the way was lodged in a roome newly whited with lime, in the which, to aire the roome, was made a great fire of char-coale, and the next morning this Emperour was",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1633,,,,", and comfort the patients weake ſpirits. </s><s> The colour of the walls come alſo here within our conſideration; which if whited with lime or chaulke, are likewiſe offenſive;Hippocrates. </s><s> That it is not ſufficient for the Phyſitian to play his part",BLEACH,BLEACH,BLEACH,", and comfort the patients weake ſpirits. </s><s> The colour of the walls come alſo here within our conſideration; which if whited with lime or chaulke, are likewiſe offenſive;Hippocrates. </s><s> That it is not ſufficient for the Phyſitian to play his part",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1578,,,,"with all filthyneſſe and malice, yea altogether like vnto dead mennes graues, whiche although they ſhewe outwardly whited , and garniſhed, yet inwardly they abounde with poyſoned, and abhominable filthyneſſe: therfore, they doe not gladly",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"with all filthyneſſe and malice, yea altogether like vnto dead mennes graues, whiche although they ſhewe outwardly whited , and garniſhed, yet inwardly they abounde with poyſoned, and abhominable filthyneſſe: therfore, they doe not gladly",white,CONCEAL,CONCEAL
1635,,,,"this is. </s><s> To every such a one I may say as the Apostle doth in another case unto Ananias Acts 23.3. </s><s> God shall smite thee thou whited wall that usest to cover thy rottennesse with this vernish. </s><s> How soone he will smite thee, or in what manner or degree he",ADJECTIVE,ADJECTIVE,ADJECTIVE,"this is. </s><s> To every such a one I may say as the Apostle doth in another case unto Ananias Acts 23.3. </s><s> God shall smite thee thou whited wall that usest to cover thy rottennesse with this vernish. </s><s> How soone he will smite thee, or in what manner or degree he",white,CONCEAL,CONCEAL
