Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_pink_EHCB_GENERIC,GPT_CATEGORY
1598,,,,"paine lyeth, vntil the bloud doth iſſue forth. </s><s> The women in Florida are great and verie wiſe, and coloured like men, and pinked on their bodies, legges, and armes, putting ſuch colour into the places, that will not eaſily come forth: but the women",APPLY_PINK,MAKE_PINK,APPLY_PINK,"paine lyeth, vntil the bloud doth iſſue forth. </s><s> The women in Florida are great and verie wiſe, and coloured like men, and pinked on their bodies, legges, and armes, putting ſuch colour into the places, that will not eaſily come forth: but the women",unknown,MAKE_PINK,MAKE_PINK
1589,,,,"I might see more knauerie filde in: within a while appeared olde Martin with a wit worn into the socket, twinkling and pinking like the snuffe of a candle; quantum mutatus ab illo, how vnlike the knaue hee was before, not for malice but for",NONE,NONE,NONE,"I might see more knauerie filde in: within a while appeared olde Martin with a wit worn into the socket, twinkling and pinking like the snuffe of a candle; quantum mutatus ab illo, how vnlike the knaue hee was before, not for malice but for",unknown,NONE,NONE
1603,,,,"a ſinging, </s><s> When one ſad ſoule anothers breſt doth borrow: </s><s> There make a Chaplet of the ſweeteſt flowers, </s><s> That prettie pinked Groue or Dale doth yeeld: </s><s> There ſhade thy temples in thoſe templed bower: </s><s> That canopize the haunters of the field: </s><s> And",ADJECTIVE,ADJECTIVE,ADJECTIVE,"a ſinging, </s><s> When one ſad ſoule anothers breſt doth borrow: </s><s> There make a Chaplet of the ſweeteſt flowers, </s><s> That prettie pinked Groue or Dale doth yeeld: </s><s> There ſhade thy temples in thoſe templed bower: </s><s> That canopize the haunters of the field: </s><s> And",unknown,ADJECTIVE,ADJECTIVE
1583,,,,"hall, a Ladie, séeming to bée of great authoritie, accompanyed with two faire Nymphs, all apparelled in russet Satten, pinked & cut, and lined with gréene Satten, which coulours were verie pleasant, and greatly delighted the sight. </s><s> And when shée",NONE,NONE,NONE,"hall, a Ladie, séeming to bée of great authoritie, accompanyed with two faire Nymphs, all apparelled in russet Satten, pinked & cut, and lined with gréene Satten, which coulours were verie pleasant, and greatly delighted the sight. </s><s> And when shée",unknown,NONE,NONE
1616,,,,"a Lady on a blacke Palfray, ſhée being attyred after the Turkiſh manner, in a Robe of white Sattine, which was cutte and pinked in many places, ſo that the Blacke ſilkes lying vnder the white, gaue a very braue grace vnto her Apparell, becauſe the",NONE,NONE,NONE,"a Lady on a blacke Palfray, ſhée being attyred after the Turkiſh manner, in a Robe of white Sattine, which was cutte and pinked in many places, ſo that the Blacke ſilkes lying vnder the white, gaue a very braue grace vnto her Apparell, becauſe the",unknown,NONE,NONE
1611,,,,"get Beast, Bird, or Fish, in toil, or snare, or net. </s><s> What though his Wardrobe be not stately stuft With sumptuous silks ( pinked , and powne''t, and puft) With gold-ground Velvets, and with siluer Tissue, And all the glory of old Eues proud Issue? </s>",NONE,NONE,NONE,"get Beast, Bird, or Fish, in toil, or snare, or net. </s><s> What though his Wardrobe be not stately stuft With sumptuous silks ( pinked , and powne''t, and puft) With gold-ground Velvets, and with siluer Tissue, And all the glory of old Eues proud Issue? </s>",unknown,NONE,NONE
1593,,,,"at the Sunne out of a barne but dares not come to it, ſo we peepe at Religion and will not come neere it, but ſtande a loofe off pinking and winking as though we were more afraid of GOD than the diuell: For ſelfe-loue, and regarde of perſons, and feare of",NONE,NONE,NONE,"at the Sunne out of a barne but dares not come to it, ſo we peepe at Religion and will not come neere it, but ſtande a loofe off pinking and winking as though we were more afraid of GOD than the diuell: For ſelfe-loue, and regarde of perſons, and feare of",unknown,NONE,NONE
1611,,,,"their sliced flesh. </s><s> The very paralell whereof is also by I sidore set downe touching our Picts whose bodies sliced and pinked be an artificiall punchion, did suck in the tuice of the stayning herb, carying these rasures on their pictured limmes,",NONE,NONE,NONE,"their sliced flesh. </s><s> The very paralell whereof is also by I sidore set downe touching our Picts whose bodies sliced and pinked be an artificiall punchion, did suck in the tuice of the stayning herb, carying these rasures on their pictured limmes,",unknown,NONE,NONE
1599,,,,"''vnnūbred birds do bring their Bee to bed. </s><s> 65. </s><s> And there he sleeps & slumbers til the morne, </s><s> when he awakes and wipes his pinking eies, </s><s> And vp he starts and bloweth like a horne, </s><s> where all his souldiers in a swarme do rise, </s><s> Attending on him wheresoeuer",NONE,ADJECTIVE,NONE,"''vnnūbred birds do bring their Bee to bed. </s><s> 65. </s><s> And there he sleeps & slumbers til the morne, </s><s> when he awakes and wipes his pinking eies, </s><s> And vp he starts and bloweth like a horne, </s><s> where all his souldiers in a swarme do rise, </s><s> Attending on him wheresoeuer",unknown,ADJECTIVE,ADJECTIVE
1684,,,,"; So we detached out a small party for a forlorn, supposing we must have fought our way through; But as soon as we began to pink some of their Jackets for them with our Fuzees, they got out of our reach, and went to their ruin''d Town leaving us to go",NONE,NONE,NONE,"; So we detached out a small party for a forlorn, supposing we must have fought our way through; But as soon as we began to pink some of their Jackets for them with our Fuzees, they got out of our reach, and went to their ruin''d Town leaving us to go",unknown,NONE,NONE
1692,,,,"in his Eye, and could not tell how to come at him; cast himself at his Length upon the Ground, and there he lay winking and pinking as if he had Sore Eyes. </s><s> Ah, (says he to the Cock) I have gotten a Thorn here, with Creeping through a Hedge t''other Day; ''",NONE,BE(COME)_PINK,NONE,"in his Eye, and could not tell how to come at him; cast himself at his Length upon the Ground, and there he lay winking and pinking as if he had Sore Eyes. </s><s> Ah, (says he to the Cock) I have gotten a Thorn here, with Creeping through a Hedge t''other Day; ''",unknown,NONE,NONE
1663,,,,"is cured by thoſe medicaments that humect and moiſten (and chiefly the breſt milk of a woman) laid therein. </s><s> , that is, the pinking eye, is, when any one hath from his birth ſo little eyes that they ſeem ſcarcely opened, albeit they are not ſunk down",NONE,ADJECTIVE,NONE,"is cured by thoſe medicaments that humect and moiſten (and chiefly the breſt milk of a woman) laid therein. </s><s> , that is, the pinking eye, is, when any one hath from his birth ſo little eyes that they ſeem ſcarcely opened, albeit they are not ſunk down",unknown,NONE,NONE
1687,,,,"it, and shrinks back, letting go his Hand. </s><s> Scar. </s><s> Who the Devil can this be? </s><s> I felt a Poniard, and am glad I sav''d my Skin from pinking . </s><s> [Steals out. </s><s> [Harlequin groping about, finds the Table, on which there is a Carpet, and creeps under it, listning. </s>",NONE,NONE,NONE,"it, and shrinks back, letting go his Hand. </s><s> Scar. </s><s> Who the Devil can this be? </s><s> I felt a Poniard, and am glad I sav''d my Skin from pinking . </s><s> [Steals out. </s><s> [Harlequin groping about, finds the Table, on which there is a Carpet, and creeps under it, listning. </s>",unknown,NONE,NONE
1700,,,,"in her Eyes, Such Magick in her Eyes, in her Eyes, does my wo—nd''ring Heart Surpriſe: Her prinking, mimping, twinking, pinking ; whilſt I''m courting, for transporting, how like an Angel She panting lyes, She pa—nting lyes, lyes. </s><s> For the Flute. </s><s> A",NOUN,NONE,NONE,"in her Eyes, Such Magick in her Eyes, in her Eyes, does my wo—nd''ring Heart Surpriſe: Her prinking, mimping, twinking, pinking ; whilſt I''m courting, for transporting, how like an Angel She panting lyes, She pa—nting lyes, lyes. </s><s> For the Flute. </s><s> A",unknown,NONE,NONE
1657,,,,"matches, yea, the parts of ſhame </s><s> Stuff''d with gun-powder, burſt with horrid flame. </s><s> With knives and bodkins they do pink the skin </s><s> And fleſh of ſome, draw ſtiff cords out and in. </s><s> Some roſted were with gentle fires, ſome ſmok''d </s><s> Like bacon-hogs;",NONE,NONE,NONE,"matches, yea, the parts of ſhame </s><s> Stuff''d with gun-powder, burſt with horrid flame. </s><s> With knives and bodkins they do pink the skin </s><s> And fleſh of ſome, draw ſtiff cords out and in. </s><s> Some roſted were with gentle fires, ſome ſmok''d </s><s> Like bacon-hogs;",unknown,NONE,NONE
1670,,,,", Mules come a gallop to draw him out of the Liſts, and another is let looſe. </s><s> About a ſcore were killed that day, the skins ſo pinked , they could be of no uſe but to make Sives; Dogs are ſometimes ſet againſt them when it is too troubleſome and dangerous",NONE,NONE,NONE,", Mules come a gallop to draw him out of the Liſts, and another is let looſe. </s><s> About a ſcore were killed that day, the skins ſo pinked , they could be of no uſe but to make Sives; Dogs are ſometimes ſet againſt them when it is too troubleſome and dangerous",unknown,NONE,NONE
1652,,,,"ayre, to bee devouted by Marrlets and other birds, and now let''s goe a plaine pace on the ground: and though wee weare no pinked Spanish-leather shoos, yet wee shall not want course pack-thread Sandals. </s><s> Like to like, quoth the Devill to the",NONE,ADJECTIVE,NONE,"ayre, to bee devouted by Marrlets and other birds, and now let''s goe a plaine pace on the ground: and though wee weare no pinked Spanish-leather shoos, yet wee shall not want course pack-thread Sandals. </s><s> Like to like, quoth the Devill to the",unknown,ADJECTIVE,ADJECTIVE
1686,,,,", four fingers thick, and between three and four foot in length; over which was ſpread a very fine Coverlet of Indian Work pinked with Gold, being a moſt admirable piece of Workmanſhip. </s><s> This Carpet covered all the Quilt, and hung down four fingers on",NONE,NONE,NONE,", four fingers thick, and between three and four foot in length; over which was ſpread a very fine Coverlet of Indian Work pinked with Gold, being a moſt admirable piece of Workmanſhip. </s><s> This Carpet covered all the Quilt, and hung down four fingers on",unknown,ADJECTIVE,ADJECTIVE
1662,,,,"coasts. </s><s> The Sea-hedgehog is restaurative, being enclosed in a round shell like a loaf of bread, handsomely wrought and pinked , and guarded with prickcles) the Sheathfish (which is also found upon the coast: it is as big, and as long as a mans finger",NONE,NONE,NONE,"coasts. </s><s> The Sea-hedgehog is restaurative, being enclosed in a round shell like a loaf of bread, handsomely wrought and pinked , and guarded with prickcles) the Sheathfish (which is also found upon the coast: it is as big, and as long as a mans finger",unknown,NONE,NONE
1657,,,,"sort of linnen wrought with gold, and silk: about their wast a peece of Calico, all the rest naked: the vulgar sort pink their skins in many places: some are Mahometans, others Gentiles: the Mahometan women use vails like other Indians:",NONE,NONE,NONE,"sort of linnen wrought with gold, and silk: about their wast a peece of Calico, all the rest naked: the vulgar sort pink their skins in many places: some are Mahometans, others Gentiles: the Mahometan women use vails like other Indians:",unknown,MAKE_PINK,MAKE_PINK
1657,,,,". </s><s> Their habit is thin and fine; they wear no beards: they dye their teeth black, because Dogs teeth are white, they cut and pink their flesh as a mark of bravery. </s><s> The King of Pegu on festival dayes rides abroad in his triumphant Chariot all guilded,",NOUN,NONE,NONE,". </s><s> Their habit is thin and fine; they wear no beards: they dye their teeth black, because Dogs teeth are white, they cut and pink their flesh as a mark of bravery. </s><s> The King of Pegu on festival dayes rides abroad in his triumphant Chariot all guilded,",unknown,NONE,NONE
1657,,,,"men are semi-Eunuches, one stone being exsected in their infancy by their nurses. </s><s> Both sexes hideously cut, gash, and pink their brows, nose, cheeks, arms, breast, back, belly, thighs, and legs in sundry works, and Figures. </s><s> They have no",NONE,NONE,NONE,"men are semi-Eunuches, one stone being exsected in their infancy by their nurses. </s><s> Both sexes hideously cut, gash, and pink their brows, nose, cheeks, arms, breast, back, belly, thighs, and legs in sundry works, and Figures. </s><s> They have no",unknown,NONE,NONE
1657,,,,"curled: They wear a few leaves plaited about their wasts, but are elsewhere naked; their ears are bored and wide; they pink , and cut their flesh; and whilst the men seek their prey abroad, the women keep constantly at home and spin. </s><s> The boys",NONE,NONE,NONE,"curled: They wear a few leaves plaited about their wasts, but are elsewhere naked; their ears are bored and wide; they pink , and cut their flesh; and whilst the men seek their prey abroad, the women keep constantly at home and spin. </s><s> The boys",unknown,NONE,NONE
1680,,,,"near Charingcroſs, and the ſame day met the ſame Gentleman (then ſo much famed) going to ſpeak, in an old-faſhioned pinked Fuſtian Jerkin, and clouted ſhooes, and Breeches faced with Leather, and a Carters Whip in his hand, altogether",NONE,ADJECTIVE,NONE,"near Charingcroſs, and the ſame day met the ſame Gentleman (then ſo much famed) going to ſpeak, in an old-faſhioned pinked Fuſtian Jerkin, and clouted ſhooes, and Breeches faced with Leather, and a Carters Whip in his hand, altogether",unknown,ADJECTIVE,ADJECTIVE
1693,,,,", he must refund— or Bilbo''s the Word, and Slaughter will ensue—If he refuse, tell him—But whisper that—Tell him—I''ll pink his Soul—but whisper that softly to him. </s><s> Sir Io. </s><s> So softly, that he shall never hear on''t I warrant you—Why what a Devil''s",NONE,NONE,NONE,", he must refund— or Bilbo''s the Word, and Slaughter will ensue—If he refuse, tell him—But whisper that—Tell him—I''ll pink his Soul—but whisper that softly to him. </s><s> Sir Io. </s><s> So softly, that he shall never hear on''t I warrant you—Why what a Devil''s",unknown,NONE,NONE
1693,,,,". </s><s> Nay then I''l be beforehand with you, take that—Oafe. </s><s> Cuffs him. </s><s> Bluff. </s><s> Sir Io. </s><s> Captain, will you see this? </s><s> Won''t you pink his Soul? </s><s> Bluff. </s><s> Husht, ''tis not so convenient now—I shall find a time. </s><s> Sharp. </s><s> What do you mutter about a time, Rascal—",NONE,NONE,NONE,". </s><s> Nay then I''l be beforehand with you, take that—Oafe. </s><s> Cuffs him. </s><s> Bluff. </s><s> Sir Io. </s><s> Captain, will you see this? </s><s> Won''t you pink his Soul? </s><s> Bluff. </s><s> Husht, ''tis not so convenient now—I shall find a time. </s><s> Sharp. </s><s> What do you mutter about a time, Rascal—",unknown,NONE,NONE
1700,,,,"of Fetu''s Son had fourteen Sons and twelve Daughters, and kept an hundred Slaves to wait upon them; At Cape Gonsalvo they pink and colour their bodies, and offer their Wives to Strangers; The King uses his own Daughters when grown up as Wives, and",APPLY_PINK,NONE,APPLY_PINK,"of Fetu''s Son had fourteen Sons and twelve Daughters, and kept an hundred Slaves to wait upon them; At Cape Gonsalvo they pink and colour their bodies, and offer their Wives to Strangers; The King uses his own Daughters when grown up as Wives, and",unknown,MAKE_PINK,MAKE_PINK
1696,,,,", ye Tub of Cheeſe-curds and Hogs-waſh, I''ll kick your Guts out.—Oounz, why don''t you draw, you eternal Lubbard; I''ll pink you, I''ll pink you as full of holes as a Cullender; I''ll rip your heart out, you Joulterhead. </s><s> Sap. </s><s> Nea, nea, but hold ye",NONE,NONE,NONE,", ye Tub of Cheeſe-curds and Hogs-waſh, I''ll kick your Guts out.—Oounz, why don''t you draw, you eternal Lubbard; I''ll pink you, I''ll pink you as full of holes as a Cullender; I''ll rip your heart out, you Joulterhead. </s><s> Sap. </s><s> Nea, nea, but hold ye",unknown,NONE,NONE
1696,,,,"and Hogs-waſh, I''ll kick your Guts out.—Oounz, why don''t you draw, you eternal Lubbard; I''ll pink you, I''ll pink you as full of holes as a Cullender; I''ll rip your heart out, you Joulterhead. </s><s> Sap. </s><s> Nea, nea, but hold ye Maſter Eager.—",NONE,NONE,NONE,"and Hogs-waſh, I''ll kick your Guts out.—Oounz, why don''t you draw, you eternal Lubbard; I''ll pink you, I''ll pink you as full of holes as a Cullender; I''ll rip your heart out, you Joulterhead. </s><s> Sap. </s><s> Nea, nea, but hold ye Maſter Eager.—",unknown,NONE,NONE
1691,,,,"me </s><s> The fondneſs of a Bride, without the fear. </s><s> My whole Deſires and Wiſhes are in you. </s><s> Phaed. </s><s> aſide. </s><s> My Ladies Eyes are pinking to Bedward too; Now is She to look very ſleepy, counterfeiting yauning, but She ſhall ask me leave firſt. </s><s> Alc. </s><s> Great Juno",NONE,NONE,NONE,"me </s><s> The fondneſs of a Bride, without the fear. </s><s> My whole Deſires and Wiſhes are in you. </s><s> Phaed. </s><s> aſide. </s><s> My Ladies Eyes are pinking to Bedward too; Now is She to look very ſleepy, counterfeiting yauning, but She ſhall ask me leave firſt. </s><s> Alc. </s><s> Great Juno",unknown,VERB,BE(COME)_PINK
1668,,,,"i''faith? </s><s> Warn. </s><s> Pray pacifie your self, Sir, ''twas a Plot of my own devising. </s><s> Sir Mart. </s><s> Leave off your winking and your pinking , with a Horse-pox t''ye, I''ll understand none of it; tell me in plain English the truth of the business: for an''you were my",NONE,NOUN,NONE,"i''faith? </s><s> Warn. </s><s> Pray pacifie your self, Sir, ''twas a Plot of my own devising. </s><s> Sir Mart. </s><s> Leave off your winking and your pinking , with a Horse-pox t''ye, I''ll understand none of it; tell me in plain English the truth of the business: for an''you were my",unknown,NONE,NONE
1674,,,,"particulars, </s><s> The why and wherefore I must draw my Sword, </s><s> For I''me not so in love with the French garb, </s><s> T'' expose my skin to pinking for the Mode. </s><s> Hon. </s><s> You shall— </s><s> Setting a part your late inconstancy, (which I am▪ </s><s> Bound to pardon by an Oath) receive in",NONE,NONE,NONE,"particulars, </s><s> The why and wherefore I must draw my Sword, </s><s> For I''me not so in love with the French garb, </s><s> T'' expose my skin to pinking for the Mode. </s><s> Hon. </s><s> You shall— </s><s> Setting a part your late inconstancy, (which I am▪ </s><s> Bound to pardon by an Oath) receive in",unknown,NONE,NONE
1686,,,,". </s><s> Here de are! fall on. </s><s> D. Pier. </s><s> Harkee, Diable! </s><s> Rascale! </s><s> Teefe! or what do you call your self? </s><s> Get you gon, or I shall so pink your Guts, d''ee hear? </s><s> La Mur. </s><s> Morbleu, Villain! pinka my Guts. </s><s> Courage. </s><s> D. Pier. </s><s> Nay, if you will be paunch''d, have at",NONE,ADJECTIVE,NONE,". </s><s> Here de are! fall on. </s><s> D. Pier. </s><s> Harkee, Diable! </s><s> Rascale! </s><s> Teefe! or what do you call your self? </s><s> Get you gon, or I shall so pink your Guts, d''ee hear? </s><s> La Mur. </s><s> Morbleu, Villain! pinka my Guts. </s><s> Courage. </s><s> D. Pier. </s><s> Nay, if you will be paunch''d, have at",unknown,NONE,NONE
1699,,,,"and thin, that are perpetually harrass''d and fatigu''d, that lie whole Nights up to the chin in water, that venture the pinking of their Carcasses, and the damming of their Souls, for that most valuable consideration a Groat a day, which is not",NONE,NOUN,NONE,"and thin, that are perpetually harrass''d and fatigu''d, that lie whole Nights up to the chin in water, that venture the pinking of their Carcasses, and the damming of their Souls, for that most valuable consideration a Groat a day, which is not",unknown,NONE,NONE
1650,,,,"theIudas, and before the election of Matthias. </s><s> In a word, the chanels of Nilus, daily decreased in number, because (as pinked or slashed clothes have the fewer holes the longer they are worn) so his streams fret one into another; especially, the",NONE,ADJECTIVE,NONE,"theIudas, and before the election of Matthias. </s><s> In a word, the chanels of Nilus, daily decreased in number, because (as pinked or slashed clothes have the fewer holes the longer they are worn) so his streams fret one into another; especially, the",unknown,NONE,NONE
1688,,,,"relief where occasion did most require.Carate. </s><s> Pedro de Alvarado wore over his Arms a Coat of white Satten, slashed and pinked , saying, That when Archers shoot at Butts, there are very few which hit the white Mark. </s><s> In this posture they remained in",NONE,ADJECTIVE,NONE,"relief where occasion did most require.Carate. </s><s> Pedro de Alvarado wore over his Arms a Coat of white Satten, slashed and pinked , saying, That when Archers shoot at Butts, there are very few which hit the white Mark. </s><s> In this posture they remained in",unknown,NONE,NONE
1652,,,,"the Portugals, they ſpeak that tongue alſo. </s><s> The Women of the like complexion: to amend which, and ſeem more lovely, they pink their arms and faces in ſeveral ſhapes. </s><s> Both ſexes no otherwiſe apparalled then their natural garments, with ſome",NONE,NONE,NONE,"the Portugals, they ſpeak that tongue alſo. </s><s> The Women of the like complexion: to amend which, and ſeem more lovely, they pink their arms and faces in ſeveral ſhapes. </s><s> Both ſexes no otherwiſe apparalled then their natural garments, with ſome",unknown,MAKE_PINK,MAKE_PINK
1688,,,,"Soles. </s><s> Pumps, are shooes with single Soles and no heels, some term them Lacky-Boys, Foot-men, or running shooes. </s><s> Pinked or raised Shooes, have the over leathers grain part cut into Roses, or other devices. </s><s> Laced shooes, have the over",NONE,ADJECTIVE,NONE,"Soles. </s><s> Pumps, are shooes with single Soles and no heels, some term them Lacky-Boys, Foot-men, or running shooes. </s><s> Pinked or raised Shooes, have the over leathers grain part cut into Roses, or other devices. </s><s> Laced shooes, have the over",unknown,NONE,NONE
1688,,,,", Argent. </s><s> This was the fashion of the Gentry in the beginning of King Iames his Reigh: the sleeves being either slashed or pinked as they then called it; and the Breeches so full in the wast, that they fell into Pleats and Folds, and being gathered at",NONE,ADJECTIVE,NONE,", Argent. </s><s> This was the fashion of the Gentry in the beginning of King Iames his Reigh: the sleeves being either slashed or pinked as they then called it; and the Breeches so full in the wast, that they fell into Pleats and Folds, and being gathered at",unknown,NONE,NONE
1688,,,,"or beating too the stitch. </s><s> Sowing the Heel. </s><s> Pegging on the Heel pieces. </s><s> Slickening it off, polishing the upper Leather. </s><s> Pinking the over Leather, cutting the grain of the Leather into Roses, Knots, and orderly devices. </s><s> Colouring the soles,",NONE,NONE,NONE,"or beating too the stitch. </s><s> Sowing the Heel. </s><s> Pegging on the Heel pieces. </s><s> Slickening it off, polishing the upper Leather. </s><s> Pinking the over Leather, cutting the grain of the Leather into Roses, Knots, and orderly devices. </s><s> Colouring the soles,",unknown,NONE,NONE
