Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_redden_COCA_GENERIC,GPT_CATEGORY
216,1998,SPOK,ABC_GMA,"walking in with the king, you've got to look your best. DAVID REDDEN: She had to look the part, yes. LISA McREE: Now,",NOUN,NOUN,NOUN,"walking in with the king, you've got to look your best. DAVID REDDEN: She had to look the part, yes. LISA McREE: Now,",unknown,NONE,NONE
217,1998,SPOK,ABC_GMA,"was even -- was probably more important in fashion, I've heard. DAVID REDDEN: Well, he was. He set endless styles for men. LISA McREE",NOUN,NOUN,NOUN,"was even -- was probably more important in fashion, I've heard. DAVID REDDEN: Well, he was. He set endless styles for men. LISA McREE",unknown,NONE,NONE
218,1998,SPOK,ABC_GMA,"for men. LISA McREE: Well, this is quite a style. DAVID REDDEN: This is a style, this is not a style, actually, that",NOUN,NOUN,NOUN,"for men. LISA McREE: Well, this is quite a style. DAVID REDDEN: This is a style, this is not a style, actually, that",unknown,NONE,NONE
219,1998,SPOK,ABC_GMA,a woman could wear his clothes easier than a man. He was... DAVID REDDEN: I think you'd look fabulous. LISA McREE:... he was tiny,NOUN,NOUN,NOUN,a woman could wear his clothes easier than a man. He was... DAVID REDDEN: I think you'd look fabulous. LISA McREE:... he was tiny,unknown,NONE,NONE
220,1998,SPOK,ABC_GMA,"... he was tiny. This was the Duchess of Windsor's bedroom. DAVID REDDEN: Yes, all in Wallis blue. LISA McREE: And what is this",NOUN,NOUN,NOUN,"... he was tiny. This was the Duchess of Windsor's bedroom. DAVID REDDEN: Yes, all in Wallis blue. LISA McREE: And what is this",unknown,NONE,NONE
221,1998,SPOK,ABC_GMA,", all in Wallis blue. LISA McREE: And what is this? DAVID REDDEN: The pug guardians at the foot of the bed. LISA McREE: Now",NOUN,NOUN,NOUN,", all in Wallis blue. LISA McREE: And what is this? DAVID REDDEN: The pug guardians at the foot of the bed. LISA McREE: Now",unknown,NONE,NONE
222,1998,SPOK,ABC_GMA,"for your pet. This is almost a fetish, isn't it? DAVID REDDEN: There are a lot of pug-related objects in this house. LISA McREE:",NOUN,NOUN,NOUN,"for your pet. This is almost a fetish, isn't it? DAVID REDDEN: There are a lot of pug-related objects in this house. LISA McREE:",unknown,NONE,NONE
223,1998,SPOK,ABC_GMA,"this house. LISA McREE: About how many, would you say? DAVID REDDEN: Hundreds. LISA McREE: There are things that you can buy, like",NOUN,NOUN,NOUN,"this house. LISA McREE: About how many, would you say? DAVID REDDEN: Hundreds. LISA McREE: There are things that you can buy, like",unknown,NONE,NONE
224,1998,SPOK,ABC_GMA,"the pugs, that are only a couple of hundred dollars, right? DAVID REDDEN: Oh, yes, those pillows are for a couple hundred dollars for a",NOUN,NOUN,NOUN,"the pugs, that are only a couple of hundred dollars, right? DAVID REDDEN: Oh, yes, those pillows are for a couple hundred dollars for a",unknown,NONE,NONE
225,1998,SPOK,ABC_GMA,four pillows. LISA McREE: Tell me about the duke's room. DAVID REDDEN: Above the bed is the tapestry of the -- with the coat of arms,NOUN,NOUN,NOUN,four pillows. LISA McREE: Tell me about the duke's room. DAVID REDDEN: Above the bed is the tapestry of the -- with the coat of arms,unknown,NONE,NONE
226,1998,SPOK,ABC_GMA,"room, as in elsewhere in the house, are pictures of Wallis. DAVID REDDEN: Oh, there's pictures of Wallis everywhere. LISA McREE: Were they",NOUN,NOUN,NOUN,"room, as in elsewhere in the house, are pictures of Wallis. DAVID REDDEN: Oh, there's pictures of Wallis everywhere. LISA McREE: Were they",unknown,NONE,NONE
227,1998,SPOK,ABC_GMA,"pictures of Wallis everywhere. LISA McREE: Were they really in love? DAVID REDDEN: Well, he certainly was in love with her. LISA McREE: Was",NOUN,NOUN,NOUN,"pictures of Wallis everywhere. LISA McREE: Were they really in love? DAVID REDDEN: Well, he certainly was in love with her. LISA McREE: Was",unknown,NONE,NONE
228,1998,SPOK,ABC_GMA,"love with her. LISA McREE: Was she in love with him? DAVID REDDEN: I hope so. LISA McREE: Mohammed Al-Fayed, who owns the contents",NOUN,NOUN,NOUN,"love with her. LISA McREE: Was she in love with him? DAVID REDDEN: I hope so. LISA McREE: Mohammed Al-Fayed, who owns the contents",unknown,NONE,NONE
370,1998,SPOK,ABC_Special,"twice. When the prosecutors brought up the cigar, his eyes widened, he reddened very quickly and he recoiled. And I think he was quite surprised to see",BLUSH,BLUSH,BLUSH,"twice. When the prosecutors brought up the cigar, his eyes widened, he reddened very quickly and he recoiled. And I think he was quite surprised to see",unknown,BLUSH,BLUSH
450,1994,FIC,AfricanAmerRev,"must be the African, Native American, and European mingling in my skin, reddened by the sun, and glossed over by sweat dripping from my brow. My",MAKE_RED,MAKE_RED,MAKE_RED,"must be the African, Native American, and European mingling in my skin, reddened by the sun, and glossed over by sweat dripping from my brow. My",unknown,ADJECTIVE,ADJECTIVE
238,2008,ACAD,AfricanArts,on top of it. Some of the details (tusks and ears) are reddened and contrast with the shiny black color of the rest of the helmet mask.,BE(COME)_RED,ADJECTIVE,BE(COME)_RED,on top of it. Some of the details (tusks and ears) are reddened and contrast with the shiny black color of the rest of the helmet mask.,unknown,ADJECTIVE,ADJECTIVE
300,2003,ACAD,AfricanArts,"before they raise the canoe to their shoulders and enter town. A man, reddened with camwood to signify his heightened ritual state, represents Boupere (Fig. 20)",ADJECTIVE,MAKE_RED,MAKE_RED,"before they raise the canoe to their shoulders and enter town. A man, reddened with camwood to signify his heightened ritual state, represents Boupere (Fig. 20)",unknown,ADJECTIVE,ADJECTIVE
175,2003,ACAD,AfricanArts,"honor of his ancestors, he instructed the mother to qaba the child, to redden its body and face with ochre. The mother prepared herself by drawing a red",MAKE_RED,MAKE_RED,MAKE_RED,"honor of his ancestors, he instructed the mother to qaba the child, to redden its body and face with ochre. The mother prepared herself by drawing a red",unknown,MAKE_RED,MAKE_RED
98,2012,BLOG,allsimps.com,"doctors find several things physically wrong with him (poor vision, dry scalp, reddened throat, fallen arches) # After the local economy stalls, everyone in town",ADJECTIVE,ADJECTIVE,ADJECTIVE,"doctors find several things physically wrong with him (poor vision, dry scalp, reddened throat, fallen arches) # After the local economy stalls, everyone in town",unknown,ADJECTIVE,ADJECTIVE
177,2011,MAG,America,"hasn't done anything wrong. "" He was right, of course. I reddened and slunk into my seat. What was happening to me? My ire should",BLUSH,BLUSH,BLUSH,"hasn't done anything wrong. "" He was right, of course. I reddened and slunk into my seat. What was happening to me? My ire should",unknown,BLUSH,BLUSH
21,2017,ACAD,American Indian Quarterly,"and dissipates as a method of cooling down. The dissipation causes the skin to redden. To cool down, the body produces sweat. When the external temperature decreases",BLUSH,BECOME_RED,BE(COME)_RED,"and dissipates as a method of cooling down. The dissipation causes the skin to redden. To cool down, the body produces sweat. When the external temperature decreases",unknown,BE(COME)_RED,BE(COME)_RED
388,1998,ACAD,AmerIndianQ,"was thinking to myself. # With such goings-on, when the sky was all reddened by the setting sun, we started homeward; and not long after, the",ADJECTIVE,MAKE_RED,MAKE_RED,"was thinking to myself. # With such goings-on, when the sky was all reddened by the setting sun, we started homeward; and not long after, the",unknown,ADJECTIVE,ADJECTIVE
214,2009,FIC,AmerScholar,"Barry's one of those guys whose abuses--unwashed hair, fair skin long marred and reddened by the sun, the nicotine stains around his teeth--will not carry well into middle",BE(COME)_RED,MAKE_RED,MAKE_RED,"Barry's one of those guys whose abuses--unwashed hair, fair skin long marred and reddened by the sun, the nicotine stains around his teeth--will not carry well into middle",unknown,ADJECTIVE,ADJECTIVE
445,1995,MAG,AmSpect,", privilege, and information arose from the minority side of the dais, and reddened Leach's cheeks as he struggled to restore decorum. Democrat Barney Frank, the",BLUSH,BLUSH,BLUSH,", privilege, and information arose from the minority side of the dais, and reddened Leach's cheeks as he struggled to restore decorum. Democrat Barney Frank, the",unknown,BLUSH,BLUSH
