Reference,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_red_BNC_congreso_GENERIC,GPT_CATEGORY
Spoken demographic,,,,"annoyed, he''d been there twelve years </s><s> Ooh </s><s> there should be six of these, there''s only four </s><s> Oh well </s><s> What a bloody </s><s> Come on you reds , come on you reds </s><s> I don''t fucking believe it </s><s> come on your reds, come on you reds </s><s> must be happy now </s><s> Oh, go on </s><s> No </s><s> go on then </s><s> Go on </s>",NOUN,NOUN,NOUN,"annoyed, he''d been there twelve years </s><s> Ooh </s><s> there should be six of these, there''s only four </s><s> Oh well </s><s> What a bloody </s><s> Come on you reds , come on you reds </s><s> I don''t fucking believe it </s><s> come on your reds, come on you reds </s><s> must be happy now </s><s> Oh, go on </s><s> No </s><s> go on then </s><s> Go on </s>",unknown,NOUN,NOUN
Spoken demographic,,,,"there twelve years </s><s> Ooh </s><s> there should be six of these, there''s only four </s><s> Oh well </s><s> What a bloody </s><s> Come on you reds, come on you reds </s><s> I don''t fucking believe it </s><s> come on your reds, come on you reds </s><s> must be happy now </s><s> Oh, go on </s><s> No </s><s> go on then </s><s> Go on </s><s> Well played </s><s> get",NOUN,NOUN,NOUN,"there twelve years </s><s> Ooh </s><s> there should be six of these, there''s only four </s><s> Oh well </s><s> What a bloody </s><s> Come on you reds, come on you reds </s><s> I don''t fucking believe it </s><s> come on your reds, come on you reds </s><s> must be happy now </s><s> Oh, go on </s><s> No </s><s> go on then </s><s> Go on </s><s> Well played </s><s> get",unknown,NOUN,NOUN
Spoken demographic,,,,"''s only four </s><s> Oh well </s><s> What a bloody </s><s> Come on you reds, come on you reds </s><s> I don''t fucking believe it </s><s> come on your reds, come on you reds </s><s> must be happy now </s><s> Oh, go on </s><s> No </s><s> go on then </s><s> Go on </s><s> Well played </s><s> get out of it </s><s> Oh </s><s> Ha </s><s> Go on then, get in there </s><s> Come on </s><s> What happened",NOUN,NOUN,NOUN,"''s only four </s><s> Oh well </s><s> What a bloody </s><s> Come on you reds, come on you reds </s><s> I don''t fucking believe it </s><s> come on your reds, come on you reds </s><s> must be happy now </s><s> Oh, go on </s><s> No </s><s> go on then </s><s> Go on </s><s> Well played </s><s> get out of it </s><s> Oh </s><s> Ha </s><s> Go on then, get in there </s><s> Come on </s><s> What happened",unknown,NOUN,NOUN
Spoken demographic,,,,"dear </s><s> Feet high, bit high, keep those feet down </s><s> Come on </s><s> Go on </s><s> bloody hell </s><s> You''re a rubbish manager, go back to Reading ah you reds </s><s> Come on Shaun </s><s> Come on Shaun well done Alan, come on Noddy pull your socks up, come on </s><s> No I didn''t bring a picnic basket </s><s> You",NOUN,NOUN,NOUN,"dear </s><s> Feet high, bit high, keep those feet down </s><s> Come on </s><s> Go on </s><s> bloody hell </s><s> You''re a rubbish manager, go back to Reading ah you reds </s><s> Come on Shaun </s><s> Come on Shaun well done Alan, come on Noddy pull your socks up, come on </s><s> No I didn''t bring a picnic basket </s><s> You",unknown,NOUN,NOUN
Spoken demographic,,,,"for me to get in </s><s> Oh can you see alright down there David? </s><s> What? </s><s> Can you see alright down there? </s><s> Yeah </s><s> Good oh </s><s> Boo come on you reds </s><s> Yeah, David you might </s><s> do you? </s><s> No </s><s> where''s all your </s><s> Hey </s><s> yeah come on, for Christ sake better luck Jason </s><s> We''re one now </s><s> What for",NOUN,NOUN,NOUN,"for me to get in </s><s> Oh can you see alright down there David? </s><s> What? </s><s> Can you see alright down there? </s><s> Yeah </s><s> Good oh </s><s> Boo come on you reds </s><s> Yeah, David you might </s><s> do you? </s><s> No </s><s> where''s all your </s><s> Hey </s><s> yeah come on, for Christ sake better luck Jason </s><s> We''re one now </s><s> What for",unknown,NOUN,NOUN
Spoken demographic,,,,"<s> Oh when the saints </s><s> go marching in </s><s> oh when the saints go marching in, I wanna be in that number oh when the saints </s><s> come on you reds ha, come on </s><s> come on you reds, come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you",NOUN,NOUN,NOUN,"<s> Oh when the saints </s><s> go marching in </s><s> oh when the saints go marching in, I wanna be in that number oh when the saints </s><s> come on you reds ha, come on </s><s> come on you reds, come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you",unknown,NOUN,NOUN
Spoken demographic,,,,"in </s><s> oh when the saints go marching in, I wanna be in that number oh when the saints </s><s> come on you reds ha, come on </s><s> come on you reds , come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you reds, come on you reds </s><s> Get",NOUN,NOUN,NOUN,"in </s><s> oh when the saints go marching in, I wanna be in that number oh when the saints </s><s> come on you reds ha, come on </s><s> come on you reds , come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you reds, come on you reds </s><s> Get",unknown,NOUN,NOUN
Spoken demographic,,,,"saints go marching in, I wanna be in that number oh when the saints </s><s> come on you reds ha, come on </s><s> come on you reds, come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you reds, come on you reds </s><s> Get in there, come on </s>",NOUN,NOUN,NOUN,"saints go marching in, I wanna be in that number oh when the saints </s><s> come on you reds ha, come on </s><s> come on you reds, come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you reds, come on you reds </s><s> Get in there, come on </s>",unknown,NOUN,NOUN
Spoken demographic,,,,"ha, come on </s><s> come on you reds, come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you reds , come on you reds </s><s> Get in there, come on </s><s> Go </s><s> Go on </s><s> Where the bloody are you </s><s> Ah you pillock </s><s> Come on </s><s> Come on </s><s> This is a football",NOUN,NOUN,NOUN,"ha, come on </s><s> come on you reds, come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you reds , come on you reds </s><s> Get in there, come on </s><s> Go </s><s> Go on </s><s> Where the bloody are you </s><s> Ah you pillock </s><s> Come on </s><s> Come on </s><s> This is a football",unknown,NOUN,NOUN
Spoken demographic,,,,"you reds, come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you reds, come on you reds </s><s> Get in there, come on </s><s> Go </s><s> Go on </s><s> Where the bloody are you </s><s> Ah you pillock </s><s> Come on </s><s> Come on </s><s> This is a football match at Southampton",NOUN,NOUN,NOUN,"you reds, come on you reds </s><s> Come on </s><s> Did you see that? </s><s> Come on for Christ sakes get in there </s><s> Quick </s><s> Come on you reds, come on you reds </s><s> Get in there, come on </s><s> Go </s><s> Go on </s><s> Where the bloody are you </s><s> Ah you pillock </s><s> Come on </s><s> Come on </s><s> This is a football match at Southampton",unknown,NOUN,NOUN
Spoken demographic,,,,", Southampton versus Bolton, mind the language twenty sixth of the second, ninety-two goal kick go on </s><s> Come on you reds , come on you reds, come on you reds </s><s> Go on, go on </s><s> Oh </s><s> No didn''t </s><s> get on with it </s><s> that''s right </s><s> Oh oh yes </s><s> Go on, go on </s><s> Ha idiot </s><s> Off, off,",NOUN,NOUN,NOUN,", Southampton versus Bolton, mind the language twenty sixth of the second, ninety-two goal kick go on </s><s> Come on you reds , come on you reds, come on you reds </s><s> Go on, go on </s><s> Oh </s><s> No didn''t </s><s> get on with it </s><s> that''s right </s><s> Oh oh yes </s><s> Go on, go on </s><s> Ha idiot </s><s> Off, off,",unknown,NOUN,NOUN
Spoken demographic,,,,"versus Bolton, mind the language twenty sixth of the second, ninety-two goal kick go on </s><s> Come on you reds, come on you reds , come on you reds </s><s> Go on, go on </s><s> Oh </s><s> No didn''t </s><s> get on with it </s><s> that''s right </s><s> Oh oh yes </s><s> Go on, go on </s><s> Ha idiot </s><s> Off, off, off, off, off ah? </s>",NOUN,NOUN,NOUN,"versus Bolton, mind the language twenty sixth of the second, ninety-two goal kick go on </s><s> Come on you reds, come on you reds , come on you reds </s><s> Go on, go on </s><s> Oh </s><s> No didn''t </s><s> get on with it </s><s> that''s right </s><s> Oh oh yes </s><s> Go on, go on </s><s> Ha idiot </s><s> Off, off, off, off, off ah? </s>",unknown,NOUN,NOUN
